Reading file...
Transposing...
Constructing len-j set...
Constructing len-i set...
Computing rank...
size: 6322661x57670760 | lenj: 57670760 | rank: 0
size: 6322661x57670760 | lenj: 57669760 | rank: 1000
size: 6322661x57670760 | lenj: 57668731 | rank: 2000
size: 6322661x57670760 | lenj: 57667727 | rank: 3000
size: 6322661x57670760 | lenj: 57666701 | rank: 4000
size: 6322661x57670760 | lenj: 57665371 | rank: 5000
size: 6322661x57670760 | lenj: 57663869 | rank: 6000
size: 6322661x57670760 | lenj: 57662298 | rank: 7000
size: 6322661x57670760 | lenj: 57660742 | rank: 8000
size: 6322661x57670760 | lenj: 57659742 | rank: 9000
size: 6322661x57670760 | lenj: 57658742 | rank: 10000
size: 6322661x57670760 | lenj: 57657742 | rank: 11000
size: 6322661x57670760 | lenj: 57656742 | rank: 12000
size: 6322661x57670760 | lenj: 57655742 | rank: 13000
size: 6322661x57670760 | lenj: 57654146 | rank: 14000
size: 6322661x57670760 | lenj: 57652135 | rank: 15000
size: 6322661x57670760 | lenj: 57649872 | rank: 16000
size: 6322661x57670760 | lenj: 57647747 | rank: 17000
size: 6322661x57670760 | lenj: 57645702 | rank: 18000
size: 6322661x57670760 | lenj: 57643762 | rank: 19000
size: 6322661x57670760 | lenj: 57641395 | rank: 20000
size: 6322661x57670760 | lenj: 57638501 | rank: 21000
size: 6322661x57670760 | lenj: 57635436 | rank: 22000
size: 6322661x57670760 | lenj: 57634436 | rank: 23000
size: 6322661x57670760 | lenj: 57633436 | rank: 24000
size: 6322661x57670760 | lenj: 57632337 | rank: 25000
size: 6322661x57670760 | lenj: 57631151 | rank: 26000
size: 6322661x57670760 | lenj: 57629948 | rank: 27000
size: 6322661x57670760 | lenj: 57628765 | rank: 28000
size: 6322661x57670760 | lenj: 57627398 | rank: 29000
size: 6322661x57670760 | lenj: 57626107 | rank: 30000
size: 6322661x57670760 | lenj: 57625015 | rank: 31000
size: 6322661x57670760 | lenj: 57623687 | rank: 32000
size: 6322661x57670760 | lenj: 57622292 | rank: 33000
size: 6322661x57670760 | lenj: 57620704 | rank: 34000
size: 6322661x57670760 | lenj: 57619003 | rank: 35000
size: 6322661x57670760 | lenj: 57616983 | rank: 36000
size: 6322661x57670760 | lenj: 57614888 | rank: 37000
size: 6322661x57670760 | lenj: 57612872 | rank: 38000
size: 6322661x57670760 | lenj: 57611078 | rank: 39000
size: 6322661x57670760 | lenj: 57610078 | rank: 40000
size: 6322661x57670760 | lenj: 57609078 | rank: 41000
size: 6322661x57670760 | lenj: 57608078 | rank: 42000
size: 6322661x57670760 | lenj: 57606814 | rank: 43000
size: 6322661x57670760 | lenj: 57604835 | rank: 44000
size: 6322661x57670760 | lenj: 57602929 | rank: 45000
size: 6322661x57670760 | lenj: 57600470 | rank: 46000
size: 6322661x57670760 | lenj: 57597708 | rank: 47000
size: 6322661x57670760 | lenj: 57594207 | rank: 48000
size: 6322661x57670760 | lenj: 57592844 | rank: 49000
size: 6322661x57670760 | lenj: 57591405 | rank: 50000
size: 6322661x57670760 | lenj: 57590298 | rank: 51000
size: 6322661x57670760 | lenj: 57589064 | rank: 52000
size: 6322661x57670760 | lenj: 57587643 | rank: 53000
size: 6322661x57670760 | lenj: 57586023 | rank: 54000
size: 6322661x57670760 | lenj: 57584250 | rank: 55000
size: 6322661x57670760 | lenj: 57582389 | rank: 56000
size: 6322661x57670760 | lenj: 57580783 | rank: 57000
size: 6322661x57670760 | lenj: 57578922 | rank: 58000
size: 6322661x57670760 | lenj: 57577007 | rank: 59000
size: 6322661x57670760 | lenj: 57574399 | rank: 60000
size: 6322661x57670760 | lenj: 57571160 | rank: 61000
size: 6322661x57670760 | lenj: 57569992 | rank: 62000
size: 6322661x57670760 | lenj: 57568791 | rank: 63000
size: 6322661x57670760 | lenj: 57567636 | rank: 64000
size: 6322661x57670760 | lenj: 57566481 | rank: 65000
size: 6322661x57670760 | lenj: 57565319 | rank: 66000
size: 6322661x57670760 | lenj: 57564159 | rank: 67000
size: 6322661x57670760 | lenj: 57562961 | rank: 68000
size: 6322661x57670760 | lenj: 57561835 | rank: 69000
size: 6322661x57670760 | lenj: 57560655 | rank: 70000
size: 6322661x57670760 | lenj: 57558984 | rank: 71000
size: 6322661x57670760 | lenj: 57557660 | rank: 72000
size: 6322661x57670760 | lenj: 57556361 | rank: 73000
size: 6322661x57670760 | lenj: 57555217 | rank: 74000
size: 6322661x57670760 | lenj: 57553860 | rank: 75000
size: 6322661x57670760 | lenj: 57552704 | rank: 76000
size: 6322661x57670760 | lenj: 57551545 | rank: 77000
size: 6322661x57670760 | lenj: 57550329 | rank: 78000
size: 6322661x57670760 | lenj: 57549151 | rank: 79000
size: 6322661x57670760 | lenj: 57547865 | rank: 80000
size: 6322661x57670760 | lenj: 57546671 | rank: 81000
size: 6322661x57670760 | lenj: 57545242 | rank: 82000
