UniProtKB:Q13404	UBE2V1
UniProtKB:P46379	BAG6
UniProtKB:Q6PJQ5	FOXR2
UniProtKB:Q9BX46	RBM24
UniProtKB:O15230	LAMA5
UniProtKB:Q9UKW6	ELF5
UniProtKB:Q9NNZ6	PRM3
UniProtKB:O95267	RASGRP1
UniProtKB:O95257	GADD45G
UniProtKB:Q8NB90	SPATA5
UniProtKB:O95238	SPDEF
UniProtKB:Q06546	GABPA
UniProtKB:P05230	FGF1
UniProtKB:Q5VYP0	SPATA31A3
UniProtKB:Q9H3T3	SEMA6B
UniProtKB:B4DYI2	SPATA31C2
UniProtKB:P49763	PGF
UniProtKB:Q9UBP0	SPAST
UniProtKB:Q9Y222	DMTF1
UniProtKB:Q9Y219	JAG2
UniProtKB:O95365	ZBTB7A
UniProtKB:Q14587	ZNF268
UniProtKB:Q14576	ELAVL3
UniProtKB:Q9UBC0	ONECUT1
UniProtKB:Q99581	FEV
UniProtKB:Q8IZ02	LRRC34
UniProtKB:Q8IYM1	SEPT12
UniProtKB:Q86YR5	GPSM1
UniProtKB:Q99504	EYA3
UniProtKB:Q99502	EYA1
UniProtKB:P31213	SRD5A2
UniProtKB:O96005	CLPTM1
UniProtKB:Q6UW56	ATRAID
UniProtKB:O00358	FOXE1
UniProtKB:O00321	ETV2
UniProtKB:Q8IXT2	DMRTC2
UniProtKB:Q9NX45	SOHLH2
UniProtKB:Q9GZX9	TWSG1
UniProtKB:P13497	BMP1
UniProtKB:Q8N8Y5	ZFP41
UniProtKB:A6NHT5	HMX3
UniProtKB:Q86VQ6	TXNRD3
UniProtKB:Q8N8V4	ANKS4B
UniProtKB:A6NI15	MSGN1
UniProtKB:O00548	DLL1
UniProtKB:P13385	TDGF1
UniProtKB:Q03113	GNA12
UniProtKB:Q2M2E3	ODF4
UniProtKB:P08631	HCK
UniProtKB:Q03181	PPARD
UniProtKB:Q4G0N8	SLC9C1
UniProtKB:Q8TBJ5	FEZF2
UniProtKB:Q8N2R0	OSR2
UniProtKB:Q8N1W1	ARHGEF28
UniProtKB:Q8N264	ARHGAP24
UniProtKB:Q8IX30	SCUBE3
UniProtKB:Q8IWX7	UNC45B
UniProtKB:P15056	BRAF
UniProtKB:Q9UPW0	FOXJ3
UniProtKB:P15036	ETS2
UniProtKB:Q96N23	CFAP54
UniProtKB:Q9BQE9	BCL7B
UniProtKB:Q12824	SMARCB1
UniProtKB:Q8TDN7	ACER1
UniProtKB:Q02577	NHLH2
UniProtKB:Q02575	NHLH1
UniProtKB:O15409	FOXP2
UniProtKB:Q9NTN9	SEMA4G
UniProtKB:Q12778	FOXO1
UniProtKB:P57052	RBM11
UniProtKB:Q9H9C1	VIPAS39
UniProtKB:Q5FVE4	ACSBG2
UniProtKB:Q9Y696	CLIC4
UniProtKB:Q99853	FOXB1
UniProtKB:Q8WVL7	ANKRD49
UniProtKB:Q8WVJ9	TWIST2
UniProtKB:P28324	ELK4
UniProtKB:P85037	FOXK1
UniProtKB:P16591	FER
UniProtKB:Q99967	CITED2
UniProtKB:Q6FHJ7	SFRP4
UniProtKB:Q9Y6L7	TLL2
UniProtKB:Q15464	SHB
UniProtKB:P26718	KLRK1
UniProtKB:P06241	FYN
UniProtKB:P21741	MDK
UniProtKB:P09769	FGR
UniProtKB:Q03169	TNFAIP2
UniProtKB:P61247	RPS3A
UniProtKB:Q03112	MECOM
UniProtKB:Q5M9Q1	NKAPL
UniProtKB:P56539	CAV3
UniProtKB:Q7Z7L9	ZSCAN2
UniProtKB:Q6ZUB1	SPATA31E1
UniProtKB:Q6ZUB0	SPATA31D4
UniProtKB:P19971	TYMP
UniProtKB:P04155	TFF1
UniProtKB:Q01954	BNC1
UniProtKB:Q6PIV2	FOXR1
UniProtKB:Q96TC7	RMDN3
UniProtKB:Q96TA1	FAM129B
UniProtKB:Q03060	CREM
UniProtKB:Q6PIF6	MYO7B
UniProtKB:Q2M1K9	ZNF423
UniProtKB:Q96SQ7	ATOH8
UniProtKB:Q03014	HHEX
UniProtKB:P09603	CSF1
UniProtKB:Q8TD06	AGR3
UniProtKB:Q9H0D2	ZNF541
UniProtKB:Q9HCE7	SMURF1
UniProtKB:Q5H9L4	TAF7L
UniProtKB:Q9HCC6	HES4
UniProtKB:Q8IWB4	SPATA31A7
UniProtKB:P41240	CSK
UniProtKB:O00139	KIF2A
UniProtKB:Q8TBZ2	MYCBPAP
UniProtKB:P04637	TP53
UniProtKB:Q86VW1	SLC22A16
UniProtKB:Q8TC57	M1AP
UniProtKB:Q8TC36	SUN5
UniProtKB:Q7RTU1	TCF23
UniProtKB:Q7RTU7	SCX
UniProtKB:Q13685	AAMP
UniProtKB:Q5SXM2	SNAPC4
UniProtKB:Q13642	FHL1
UniProtKB:Q86TG7	PEG10
UniProtKB:Q13588	GRAP
UniProtKB:Q96I82	KAZALD1
UniProtKB:P78395	PRAME
UniProtKB:Q13557	CAMK2D
UniProtKB:Q86W54	SPATA24
UniProtKB:Q9HBH7	BEX1
UniProtKB:Q86W24	NLRP14
UniProtKB:Q86VQ3	TXNDC2
UniProtKB:Q19T08	ECSCR
UniProtKB:Q86VP6	CAND1
UniProtKB:Q8IVH2	FOXP4
UniProtKB:P08493	MGP
UniProtKB:Q9HBB8	CDHR5
UniProtKB:A8MYZ6	FOXO6
UniProtKB:Q502X0	MORN2
UniProtKB:P41162	ETV3
UniProtKB:P41161	ETV5
UniProtKB:Q86VD1	MORC1
UniProtKB:Q8IUX8	EGFL6
UniProtKB:Q6DKJ4	NXN
UniProtKB:Q9HAU6	TPT1P8
UniProtKB:Q2TAA8	TSNAXIP1
UniProtKB:Q9HB31	SEBOX
UniProtKB:Q8TAX0	OSR1
UniProtKB:Q93063	EXT2
UniProtKB:Q86UU5	GGN
UniProtKB:Q8IUH3	RBM45
UniProtKB:Q96P56	CATSPER2
UniProtKB:Q9BZQ2	SHCBP1L
UniProtKB:Q58F21	BRDT
UniProtKB:Q8TAG5	VSTM2A
UniProtKB:P78362	SRPK2
UniProtKB:Q13501	SQSTM1
UniProtKB:Q9BXT5	TEX15
UniProtKB:P51114	FXR1
UniProtKB:Q6ZW33	MICALCL
UniProtKB:Q9BXL5	HEMGN
UniProtKB:Q2M3G0	ABCB5
UniProtKB:Q6UQ28	PLET1
UniProtKB:Q9BXB7	SPATA16
UniProtKB:Q13491	GPM6B
UniProtKB:Q9UL49	TCFL5
UniProtKB:Q13470	TNK1
UniProtKB:Q13461	FOXE3
UniProtKB:Q7Z745	MROH2B
UniProtKB:Q9NZP6	NPAP1
UniProtKB:P0CV99	TSPY4
UniProtKB:P0CV98	TSPY3
UniProtKB:Q13555	CAMK2G
UniProtKB:Q9BXJ9	NAA15
UniProtKB:P08476	INHBA
UniProtKB:Q9P206	KIAA1522
UniProtKB:Q9BY76	ANGPTL4
UniProtKB:Q8N5J4	SPIC
UniProtKB:Q92838	EDA
UniProtKB:Q7Z5L4	SPATA19
UniProtKB:P51451	BLK
UniProtKB:Q7Z5H3	ARHGAP22
UniProtKB:P41212	ETV6
UniProtKB:P80370	DLK1
UniProtKB:O00409	FOXN3
UniProtKB:A2RU54	HMX2
UniProtKB:Q00577	PURA
UniProtKB:A6NCS4	NKX2-6
UniProtKB:Q7Z3Z4	PIWIL4
UniProtKB:Q7Z3Z3	PIWIL3
UniProtKB:Q8N427	NME8
UniProtKB:Q8IUM7	NPAS4
UniProtKB:Q7Z3S9	NOTCH2NL
UniProtKB:Q9BWV2	SPATA9
UniProtKB:Q6VB84	FOXD4L3
UniProtKB:P18405	SRD5A1
UniProtKB:P43268	ETV4
UniProtKB:Q92832	NELL1
UniProtKB:Q99598	TSNAX
UniProtKB:P11308	ERG
UniProtKB:Q15847	ADIRF
UniProtKB:Q15834	CCDC85B
UniProtKB:Q6UXB2	CXCL17
UniProtKB:Q8WXT5	FOXD4L4
UniProtKB:Q7L513	FCRLA
UniProtKB:P31749	AKT1
UniProtKB:P21145	MAL
UniProtKB:Q15831	STK11
UniProtKB:Q8WTS1	ABHD5
UniProtKB:Q99626	CDX2
UniProtKB:Q99607	ELF4
UniProtKB:Q15389	ANGPT1
UniProtKB:Q3SYB3	FOXD4L6
UniProtKB:Q15361	TTF1
UniProtKB:P41586	ADCYAP1R1
UniProtKB:Q6PRD7	CEMP1
UniProtKB:Q8TDB8	SLC2A14
UniProtKB:Q5YKI7	GGNBP1
UniProtKB:Q99426	TBCB
