UniProtKB:Q9H2K8	TAOK3
UniProtKB:Q6P4R8	NFRKB
UniProtKB:O95243	MBD4
UniProtKB:Q8NAG6	ANKLE1
UniProtKB:Q9Y294	ASF1A
UniProtKB:Q9UBT6	POLK
UniProtKB:Q9Y230	RUVBL2
UniProtKB:Q8NBZ0	INO80E
UniProtKB:P63146	UBE2B
UniProtKB:Q9Y6I4	USP3
UniProtKB:Q8TEK3	DOT1L
UniProtKB:O96019	ACTL6A
UniProtKB:Q15233	NONO
UniProtKB:K7EN88	hCG_2039718
UniProtKB:Q8IY92	SLX4
UniProtKB:Q92759	GTF2H4
UniProtKB:F6WH68	RTEL1-TNFRSF6B
UniProtKB:Q9NWS1	PARPBP
UniProtKB:Q8N9B5	JMY
UniProtKB:Q8N8Q3	ENDOV
UniProtKB:Q9NXX6	NSMCE4A
UniProtKB:Q9P287	BCCIP
UniProtKB:Q68E01	INTS3
UniProtKB:Q7Z2Z1	TICRR
UniProtKB:P23025	XPA
UniProtKB:P63165	SUMO1
UniProtKB:Q86WJ1	CHD1L
UniProtKB:Q7L7X3	TAOK1
UniProtKB:Q12824	SMARCB1
UniProtKB:Q9BQI6	SLF1
UniProtKB:Q96NY9	MUS81
UniProtKB:Q5FWF4	ZRANB3
UniProtKB:P56282	POLE2
UniProtKB:O14867	BACH1
UniProtKB:P51948	MNAT1
UniProtKB:Q99708	RBBP8
UniProtKB:P53041	PPP5C
UniProtKB:Q9NZC9	SMARCAL1
UniProtKB:Q13315	ATM
UniProtKB:Q9BW66	CINP
UniProtKB:Q96T88	UHRF1
UniProtKB:Q96T76	MMS19
UniProtKB:Q96T60	PNKP
UniProtKB:Q15014	MORF4L2
UniProtKB:O00167	EYA2
UniProtKB:Q92547	TOPBP1
UniProtKB:Q86UA6	RPAIN
UniProtKB:P24941	CDK2
UniProtKB:P18858	LIG1
UniProtKB:Q13686	ALKBH1
UniProtKB:Q9HAW4	CLSPN
UniProtKB:P78543	BTG2
UniProtKB:Q6NTE8	MRNIP
UniProtKB:Q9BXW9	FANCD2
UniProtKB:Q9BXT5	TEX15
UniProtKB:P09874	PARP1
UniProtKB:Q29RF7	PDS5A
UniProtKB:Q9NZM5	NOP53
UniProtKB:Q13535	ATR
UniProtKB:O94762	RECQL5
UniProtKB:P23396	RPS3
UniProtKB:Q00613	HSF1
UniProtKB:P13051	UNG
UniProtKB:Q7Z589	EMSY
UniProtKB:Q00597	FANCC
UniProtKB:Q2TB18	ASTE1
UniProtKB:Q2TAK8	MUM1
UniProtKB:Q70EL2	USP45
UniProtKB:Q70EK9	USP51
UniProtKB:P55072	VCP
UniProtKB:P43681	CHRNA4
UniProtKB:P38935	IGHMBP2
UniProtKB:Q7L9B9	EEPD1
UniProtKB:P43246	MSH2
UniProtKB:Q92878	RAD50
UniProtKB:Q92889	ERCC4
UniProtKB:P06493	CDK1
UniProtKB:Q99638	RAD9A
UniProtKB:Q92900	UPF1
UniProtKB:Q8N0Z6	TTC5
UniProtKB:Q8N140	EID3
UniProtKB:Q99459	CDC5L
UniProtKB:Q99497	PARK7
UniProtKB:P06748	NPM1
UniProtKB:P06746	POLB
UniProtKB:P28340	POLD1
UniProtKB:Q9Y5B9	SUPT16H
UniProtKB:P46063	RECQL
UniProtKB:Q71UM5	RPS27L
UniProtKB:O60870	KIN
UniProtKB:Q9NS91	RAD18
UniProtKB:O14757	CHEK1
UniProtKB:P35250	RFC2
UniProtKB:P35249	RFC4
UniProtKB:Q9H611	PIF1
UniProtKB:Q9C086	INO80B
UniProtKB:Q92466	DDB2
UniProtKB:Q9UNE7	STUB1
UniProtKB:Q9BQ83	SLX1A
UniProtKB:Q9H981	ACTR8
UniProtKB:P19447	ERCC3
UniProtKB:Q9UQE7	SMC3
UniProtKB:Q9BQA5	HINFP
UniProtKB:Q9NSU2	TREX1
UniProtKB:P07992	ERCC1
UniProtKB:Q9UQ84	EXO1
UniProtKB:Q9UPV0	CEP164
UniProtKB:Q9NRD1	FBXO6
UniProtKB:Q13112	CHAF1B
UniProtKB:Q13111	CHAF1A
UniProtKB:Q9NW38	FANCL
UniProtKB:Q96Q83	ALKBH3
UniProtKB:O60729	CDC14B
UniProtKB:Q96Q15	SMG1
UniProtKB:Q9NUW8	TDP1
UniProtKB:Q96PK6	RBM14
UniProtKB:Q6WBX8	RAD9B
UniProtKB:O60671	RAD1
UniProtKB:O15360	FANCA
UniProtKB:Q9NY74	ETAA1
UniProtKB:O15315	RAD51B
UniProtKB:P24522	GADD45A
UniProtKB:Q13263	TRIM28
