UniProtKB:Q96FA3	PELI1
UniProtKB:Q04900	CD164
UniProtKB:O95977	S1PR4
UniProtKB:O95976	IGSF6
UniProtKB:P26842	CD27
UniProtKB:A0A075B6P5	IGKV2-28
UniProtKB:A0A0A6YY99	TNFSF12-TNFSF13
UniProtKB:Q92626	PXDN
UniProtKB:Q8TCQ1	MARCH1
UniProtKB:O00453	LST1
UniProtKB:P32456	GBP2
UniProtKB:Q14954	KIR2DS1
UniProtKB:Q14953	KIR2DS5
UniProtKB:Q14943	KIR3DS1
UniProtKB:P07357	C8A
UniProtKB:Q9UGT4	SUSD2
UniProtKB:Q9Y6W8	ICOS
UniProtKB:Q9Y4X3	CCL27
UniProtKB:P15918	RAG1
UniProtKB:P08138	NGFR
UniProtKB:P23083	IGHV1-2
UniProtKB:Q8N2H9	PELI3
UniProtKB:P06126	CD1A
UniProtKB:Q07021	C1QBP
UniProtKB:Q07011	TNFRSF9
UniProtKB:P36894	BMPR1A
UniProtKB:P08069	IGF1R
UniProtKB:P43489	TNFRSF4
UniProtKB:A0JD37	hDV103S1
UniProtKB:A0JD36	hDV102S1
UniProtKB:A0JD32	hADV38S2
UniProtKB:P43403	ZAP70
UniProtKB:F6UB75	F6UB75
UniProtKB:P40200	CD96
UniProtKB:O14931	NCR3
UniProtKB:Q12851	MAP4K2
UniProtKB:P15018	LIF
UniProtKB:P50453	SERPINB9
UniProtKB:A0A0A0MT36	IGKV6D-21
UniProtKB:P02747	C1QC
UniProtKB:Q969Z4	RELT
UniProtKB:P02776	PF4
UniProtKB:Q02556	IRF8
UniProtKB:O14862	AIM2
UniProtKB:P13765	HLA-DOB
UniProtKB:P13725	OSM
UniProtKB:P60568	IL2
UniProtKB:P25105	PTAFR
UniProtKB:Q93038	TNFRSF25
UniProtKB:P05113	IL5
UniProtKB:P05112	IL4
UniProtKB:P20036	HLA-DPA1
UniProtKB:P03986	TRGC2
UniProtKB:P20023	CR2
UniProtKB:P03973	SLPI
UniProtKB:P01782	IGHV3-9
UniProtKB:P01780	IGHV3-7
UniProtKB:P01772	IGHV3-33
UniProtKB:P01768	IGHV3-30
UniProtKB:P01767	IGHV3-53
UniProtKB:P01766	IGHV3-13
UniProtKB:P01764	IGHV3-23
UniProtKB:P01763	IGHV3-48
UniProtKB:P01762	IGHV3-11
UniProtKB:P01743	IGHV1-46
UniProtKB:P01737	P01737
UniProtKB:P01733	TRBV12-3
UniProtKB:P01732	CD8A
UniProtKB:P01717	IGLV3-25
UniProtKB:P01715	IGLV3-1
UniProtKB:P01714	IGLV3-19
UniProtKB:P28908	TNFRSF8
UniProtKB:P01709	IGLV2-8
UniProtKB:P01706	IGLV2-11
UniProtKB:P01705	IGLV2-23
UniProtKB:P01704	IGLV2-14
UniProtKB:P01701	IGLV1-51
UniProtKB:P01700	IGLV1-47
UniProtKB:Q92838	EDA
UniProtKB:Q07325	CXCL9
UniProtKB:P01699	IGLV1-44
UniProtKB:P01624	IGKV3-15
UniProtKB:P01619	IGKV3-20
UniProtKB:P01615	IGKV2D-28
UniProtKB:P01614	IGKV2D-40
UniProtKB:P01611	IGKV1D-12
UniProtKB:P01602	IGKV1-5
UniProtKB:P08311	CTSG
UniProtKB:P18510	IL1RN
UniProtKB:P01599	IGKV1-17
UniProtKB:P01597	IGKV1-39
UniProtKB:P01594	IGKV1-33
UniProtKB:P01593	IGKV1D-33
UniProtKB:P01591	JCHAIN
UniProtKB:P01589	IL2RA
UniProtKB:P01584	IL1B
UniProtKB:P01583	IL1A
UniProtKB:P06331	IGHV4-34
UniProtKB:Q8N423	LILRB2
UniProtKB:P55040	GEM
UniProtKB:O00585	CCL21
UniProtKB:O00590	ACKR2
UniProtKB:P43631	KIR2DS2
UniProtKB:P43629	KIR3DL1
UniProtKB:P43628	KIR2DL3
UniProtKB:P43626	KIR2DL1
UniProtKB:P51679	CCR4
UniProtKB:P51686	CCR9
UniProtKB:A0A075B6K6	IGLV4-3
UniProtKB:A0A075B6K5	IGLV3-9
UniProtKB:A0A075B6K4	IGLV3-10
UniProtKB:A0A075B6K2	IGLV3-12
UniProtKB:A0A075B6K0	IGLV3-16
UniProtKB:A0A075B6J9	IGLV2-18
UniProtKB:A0A075B6J6	IGLV3-22
UniProtKB:A0A075B6J2	IGLV2-33
UniProtKB:A0A075B6J1	IGLV5-37
UniProtKB:A0A075B6I9	IGLV7-46
UniProtKB:A0A075B6I7	IGLV5-48
UniProtKB:A0A075B6I6	IGLV1-50
UniProtKB:A0A075B6I4	IGLV10-54
UniProtKB:A0A075B6I3	IGLV11-55
UniProtKB:A0A075B6I1	IGLV4-60
UniProtKB:A0A075B6I0	IGLV8-61
UniProtKB:A0A075B6H9	IGLV4-69
UniProtKB:A0A075B6H8	IGKV1D-42
UniProtKB:A0A075B6H7	IGKV3-7
UniProtKB:P16871	IL7R
UniProtKB:P01024	C3
UniProtKB:Q92956	TNFRSF14
UniProtKB:O76096	CST7
UniProtKB:P10966	CD8B
UniProtKB:P25445	FAS
UniProtKB:P31995	FCGR2C
UniProtKB:P40933	IL15
UniProtKB:Q8WWZ1	IL1F10
