HGNCSymbol,GOID,Evidence
MEIS1,GO:0001525,IEA
KRIT1,GO:0001525,IEA
WNT7A,GO:0001525,IEA
NRP1,GO:0001525,IMP
NRP1,GO:0001525,ISS
EREG,GO:0001525,IEA
ANGPT2,GO:0001525,IEA
ANGPT2,GO:0001525,IEA
LAMA5,GO:0001525,NAS
FGF10,GO:0001525,IEA
HOXA3,GO:0001525,IEP
TBX1,GO:0001525,ISS
TNFSF12,GO:0001525,IEA
VEGFD,GO:0001525,IBA
HS6ST1,GO:0001525,IEA
NRP2,GO:0001525,NAS
SRPX2,GO:0001525,IEA
RAMP1,GO:0001525,IDA
RAMP2,GO:0001525,IDA
PDCD6,GO:0001525,IEA
FGF18,GO:0001525,IEA
RAPGEF3,GO:0001525,IEA
TSPAN12,GO:0001525,IEA
HAND1,GO:0001525,ISS
EGF,GO:0001525,IDA
FN1,GO:0001525,IEA
ANG,GO:0001525,TAS
ANG,GO:0001525,IMP
ANG,GO:0001525,IMP
ANG,GO:0001525,IDA
PDGFA,GO:0001525,ISS
HRG,GO:0001525,IEA
THY1,GO:0001525,ISS
THY1,GO:0001525,IBA
APOD,GO:0001525,NAS
SERPINE1,GO:0001525,IEP
FGF1,GO:0001525,IEA
JUN,GO:0001525,IEA
JUN,GO:0001525,IEA
ATP5B,GO:0001525,IMP
GPI,GO:0001525,IEA
ITGAV,GO:0001525,IEP
ANXA2,GO:0001525,IEP
MMP2,GO:0001525,IEA
COL4A2,GO:0001525,IEA
ITGA5,GO:0001525,TAS
HMOX1,GO:0001525,TAS
CXCL8,GO:0001525,TAS
FGF6,GO:0001525,IEA
FGFR1,GO:0001525,IEA
CCL2,GO:0001525,TAS
SCG2,GO:0001525,IDA
CEACAM1,GO:0001525,NAS
HOXB3,GO:0001525,IEP
ANPEP,GO:0001525,IEA
VEGFA,GO:0001525,IDA
VEGFA,GO:0001525,IDA
PRKCA,GO:0001525,IEA
TAL1,GO:0001525,IEA
XBP1,GO:0001525,ISS
FLT1,GO:0001525,IEA
NCL,GO:0001525,IDA
TYMP,GO:0001525,IEA
EFNA1,GO:0001525,IBA
S1PR1,GO:0001525,IEA
SAT1,GO:0001525,IEP
EPHA1,GO:0001525,IEA
FGFR2,GO:0001525,ISS
WARS,GO:0001525,IEA
PTPRB,GO:0001525,IEA
COL8A2,GO:0001525,IEA
ACKR3,GO:0001525,IEA
COL8A1,GO:0001525,IEA
CTGF,GO:0001525,IEA
EPHB2,GO:0001525,ISS
SHC1,GO:0001525,IEA
NOS3,GO:0001525,IEA
S100A7,GO:0001525,NAS
HOXA7,GO:0001525,IEP
FGF9,GO:0001525,IEA
PTGS2,GO:0001525,IEA
RORA,GO:0001525,IMP
MYH9,GO:0001525,IDA
TIE1,GO:0001525,IEA
SOX18,GO:0001525,IEP
KDR,GO:0001525,TAS
GJA5,GO:0001525,IEP
ACVRL1,GO:0001525,IMP
COL15A1,GO:0001525,IEA
COL18A1,GO:0001525,IEA
ID1,GO:0001525,TAS
LEP,GO:0001525,IDA
LEP,GO:0001525,IDA
ELK3,GO:0001525,IEA
PIK3CA,GO:0001525,IEA
MCAM,GO:0001525,IDA
SYK,GO:0001525,IEA
LEPR,GO:0001525,IMP
PIK3CG,GO:0001525,IEA
NOV,GO:0001525,IDA
CXCR3,GO:0001525,IEA
PGF,GO:0001525,IBA
VEGFB,GO:0001525,IBA
VEGFC,GO:0001525,IBA
MEOX2,GO:0001525,IEA
MMP14,GO:0001525,IEA
PLCD1,GO:0001525,IEA
