HGNCSymbol,GOID,Evidence
RTEL1-TNFRSF6B,GO:0006281,IEA
hCG_2039718,GO:0006281,IEA
EYA2,GO:0006281,IEA
MEN1,GO:0006281,NAS
CHEK1,GO:0006281,IMP
BACH1,GO:0006281,IMP
FANCG,GO:0006281,TAS
RAD51B,GO:0006281,TAS
FANCA,GO:0006281,TAS
RAD51C,GO:0006281,IDA
XRCC3,GO:0006281,IGI
XRCC2,GO:0006281,IGI
RAD1,GO:0006281,IBA
CDC14B,GO:0006281,IEA
KIN,GO:0006281,IEA
HUS1,GO:0006281,TAS
POLQ,GO:0006281,TAS
RAD51D,GO:0006281,TAS
RAD17,GO:0006281,IBA
RECQL4,GO:0006281,TAS
RECQL5,GO:0006281,IMP
UBR5,GO:0006281,IEA
MBD4,GO:0006281,TAS
EYA4,GO:0006281,IEA
PTTG1,GO:0006281,IEA
ACTL6A,GO:0006281,IEA
CDK1,GO:0006281,TAS
POLB,GO:0006281,TAS
NPM1,GO:0006281,IDA
ERCC1,GO:0006281,IMP
PARP1,GO:0006281,TAS
POLA1,GO:0006281,IDA
TFPT,GO:0006281,IEA
UNG,GO:0006281,TAS
LIG1,GO:0006281,TAS
ERCC3,GO:0006281,IMP
MSH3,GO:0006281,IDA
XPA,GO:0006281,IDA
XPA,GO:0006281,IMP
RPS3,GO:0006281,IEA
GADD45A,GO:0006281,TAS
CDK2,GO:0006281,IEA
RPA1,GO:0006281,IMP
APEX1,GO:0006281,IDA
POLD1,GO:0006281,TAS
GTF2H1,GO:0006281,TAS
RFC4,GO:0006281,IBA
RFC2,GO:0006281,IBA
NUDT1,GO:0006281,IC
IGHMBP2,GO:0006281,TAS
FEN1,GO:0006281,TAS
RFC5,GO:0006281,IBA
RFC5,GO:0006281,NAS
MTOR,GO:0006281,IBA
MSH2,GO:0006281,IDA
CHRNA4,GO:0006281,IMP
RECQL,GO:0006281,TAS
ATRX,GO:0006281,IEA
UBE2A,GO:0006281,IGI
CSNK1E,GO:0006281,TAS
MRE11,GO:0006281,TAS
MRE11,GO:0006281,TAS
CDK9,GO:0006281,IEA
MNAT1,GO:0006281,TAS
MSH6,GO:0006281,IDA
PPP5C,GO:0006281,IEA
BLM,GO:0006281,NAS
VCP,GO:0006281,NAS
POLE2,GO:0006281,TAS
UBE2D3,GO:0006281,IEA
UBE2B,GO:0006281,IGI
SUMO1,GO:0006281,TAS
BTG2,GO:0006281,TAS
FANCC,GO:0006281,TAS
HSF1,GO:0006281,IEA
XPC,GO:0006281,TAS
RAD51,GO:0006281,TAS
FOXM1,GO:0006281,IEA
SSRP1,GO:0006281,IEA
SMARCB1,GO:0006281,IBA
CHAF1A,GO:0006281,IEA
CHAF1B,GO:0006281,IEA
TRIM28,GO:0006281,IDA
ATM,GO:0006281,IBA
ATR,GO:0006281,TAS
ALKBH1,GO:0006281,IDA
ALKBH1,GO:0006281,IDA
GTF2H3,GO:0006281,TAS
TRIP12,GO:0006281,IEA
SMC1A,GO:0006281,TAS
NCOA6,GO:0006281,NAS
KIF22,GO:0006281,IEA
PSME4,GO:0006281,ISS
SHPRH,GO:0006281,IEA
