HGNCSymbol,GOID,Evidence
IGKV3-7,GO:0006955,IBA
IGKV1D-42,GO:0006955,IBA
IGLV4-69,GO:0006955,IBA
IGLV8-61,GO:0006955,IBA
IGLV4-60,GO:0006955,IBA
IGLV11-55,GO:0006955,IBA
IGLV10-54,GO:0006955,IBA
IGLV1-50,GO:0006955,IBA
IGLV5-48,GO:0006955,IBA
IGLV7-46,GO:0006955,IBA
IGLV5-37,GO:0006955,IBA
IGLV2-33,GO:0006955,IBA
IGLV3-22,GO:0006955,IBA
IGLV2-18,GO:0006955,IBA
IGLV3-16,GO:0006955,IBA
IGLV3-12,GO:0006955,IBA
IGLV3-10,GO:0006955,IBA
IGLV3-9,GO:0006955,IBA
IGLV4-3,GO:0006955,IBA
IGKV2-28,GO:0006955,IBA
IGKV2D-24,GO:0006955,IBA
IGKV2D-29,GO:0006955,IBA
IGKV1D-17,GO:0006955,IBA
IGKV1-27,GO:0006955,IBA
IGKV2D-30,GO:0006955,IBA
IGKV1D-37,GO:0006955,IBA
TRAV9-1,GO:0006955,IBA
TRAV18,GO:0006955,IBA
IGKV1OR2-108,GO:0006955,IBA
IGLV5-45,GO:0006955,IBA
IGKV3D-15,GO:0006955,IBA
IGKV1D-8,GO:0006955,IBA
TRAV9-2,GO:0006955,IBA
IGKV2D-26,GO:0006955,IBA
IGKV3D-11,GO:0006955,IBA
IGLV5-52,GO:0006955,IBA
IGLV3-32,GO:0006955,IBA
IGKV6D-21,GO:0006955,IBA
TNFSF12-TNFSF13,GO:0006955,IEA
TRAV14DV4,GO:0006955,IBA
TRAV19,GO:0006955,IBA
IGLV1-36,GO:0006955,IBA
IGLV9-49,GO:0006955,IBA
IGKV1D-43,GO:0006955,IBA
TRAV2,GO:0006955,IBA
TRAV38-1,GO:0006955,IBA
TRAV40,GO:0006955,IBA
IGKV1D-13,GO:0006955,IBA
IGKV6-21,GO:0006955,IBA
IGKV3D-20,GO:0006955,IBA
IGKV6D-41,GO:0006955,IBA
IGKV3D-7,GO:0006955,IBA
IGKV2-24,GO:0006955,IBA
IGKV1-9,GO:0006955,IBA
IGKV1-6,GO:0006955,IBA
IGKV1-12,GO:0006955,IBA
IGKV3OR2-268,GO:0006955,IBA
A0A0G2JRQ6,GO:0006955,IBA
IGLV5-39,GO:0006955,IBA
hADV38S2,GO:0006955,IBA
hDV102S1,GO:0006955,IBA
hDV103S1,GO:0006955,IBA
E7ENX8,GO:0006955,IEA
F6UB75,GO:0006955,IEA
H0YCG3,GO:0006955,IEA
CCL24,GO:0006955,TAS
GTPBP1,GO:0006955,TAS
TLR4,GO:0006955,TAS
TNFRSF10A,GO:0006955,IBA
TNFRSF11B,GO:0006955,IBA
LST1,GO:0006955,NAS
LST1,GO:0006955,NAS
CCL21,GO:0006955,TAS
ACKR2,GO:0006955,TAS
CCL22,GO:0006955,TAS
CXCL11,GO:0006955,IBA
ENPP3,GO:0006955,IEA
TNFRSF10B,GO:0006955,IBA
TNFSF11,GO:0006955,NAS
TNFRSF10C,GO:0006955,IBA
AIM2,GO:0006955,TAS
NCR3,GO:0006955,NAS
CHUK,GO:0006955,TAS
FYB,GO:0006955,IEA
ADAMDEC1,GO:0006955,NAS
DEFB4A,GO:0006955,TAS
CCL25,GO:0006955,TAS
TAPBP,GO:0006955,TAS
AQP9,GO:0006955,TAS
TNFSF12,GO:0006955,IEA
SMAD6,GO:0006955,IMP
TNFSF14,GO:0006955,IEA
LAT,GO:0006955,IDA
AIRE,GO:0006955,TAS
CXCL13,GO:0006955,IBA
CXCL13,GO:0006955,IC
LY75,GO:0006955,TAS
TLR2,GO:0006955,TAS
FCGR3B,GO:0006955,TAS
SEMA7A,GO:0006955,TAS
TNFRSF21,GO:0006955,IBA
PRKRA,GO:0006955,TAS
PGLYRP1,GO:0006955,TAS
TNFSF13,GO:0006955,IEA
CST7,GO:0006955,TAS
TNFSF15,GO:0006955,IEA
IKBKAP,GO:0006955,TAS
IL18RAP,GO:0006955,TAS
CNIH1,GO:0006955,TAS
TNFRSF6B,GO:0006955,IBA
CXCL14,GO:0006955,IEA
IGSF6,GO:0006955,TAS
S1PR4,GO:0006955,TAS
PNP,GO:0006955,IMP
C1R,GO:0006955,TAS
C3,GO:0006955,TAS
IL1A,GO:0006955,IEA
IL1B,GO:0006955,IEA
IL2RA,GO:0006955,TAS
JCHAIN,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1D-33,GO:0006955,NAS
IGKV1-33,GO:0006955,NAS
IGKV1-33,GO:0006955,NAS
IGKV1-39,GO:0006955,NAS
IGKV1-39,GO:0006955,NAS
IGKV1-39,GO:0006955,NAS
IGKV1-39,GO:0006955,NAS
IGKV1-39,GO:0006955,NAS
IGKV1-17,GO:0006955,NAS
IGKV1-17,GO:0006955,NAS
IGKV1D-16,GO:0006955,IBA
IGKV1D-16,GO:0006955,NAS
IGKV1-5,GO:0006955,IBA
IGKV1-5,GO:0006955,NAS
IGKV1-5,GO:0006955,NAS
IGKV1-5,GO:0006955,NAS
IGKV1-5,GO:0006955,NAS
IGKV1D-12,GO:0006955,NAS
IGKV2D-40,GO:0006955,NAS
IGKV2D-28,GO:0006955,NAS
IGKV2D-28,GO:0006955,NAS
IGKV2D-28,GO:0006955,NAS
IGKV3-20,GO:0006955,NAS
IGKV3-20,GO:0006955,NAS
IGKV3-20,GO:0006955,NAS
IGKV3-20,GO:0006955,NAS
IGKV3-20,GO:0006955,NAS
IGKV3-20,GO:0006955,NAS
IGKV3-15,GO:0006955,NAS
IGKV3-15,GO:0006955,NAS
IGLV1-44,GO:0006955,NAS
IGLV1-44,GO:0006955,NAS
IGLV1-47,GO:0006955,NAS
IGLV1-47,GO:0006955,NAS
IGLV1-51,GO:0006955,NAS
IGLV1-51,GO:0006955,NAS
IGLV1-51,GO:0006955,NAS
IGLV1-51,GO:0006955,NAS
IGLV1-40,GO:0006955,NAS
IGLV2-14,GO:0006955,NAS
IGLV2-14,GO:0006955,NAS
IGLV2-14,GO:0006955,NAS
IGLV2-23,GO:0006955,NAS
IGLV2-11,GO:0006955,NAS
IGLV2-11,GO:0006955,NAS
IGLV2-11,GO:0006955,NAS
IGLV2-11,GO:0006955,NAS
IGLV2-11,GO:0006955,NAS
IGLV2-11,GO:0006955,NAS
IGLV2-8,GO:0006955,NAS
IGLV2-8,GO:0006955,NAS
IGLV3-19,GO:0006955,NAS
IGLV3-1,GO:0006955,NAS
IGLV3-1,GO:0006955,NAS
IGLV3-1,GO:0006955,NAS
IGLV3-25,GO:0006955,NAS
IGLV3-27,GO:0006955,NAS
IGLV6-57,GO:0006955,NAS
IGLV6-57,GO:0006955,NAS
IGLV6-57,GO:0006955,NAS
IGLV6-57,GO:0006955,NAS
CD4,GO:0006955,NAS
CD8A,GO:0006955,NAS
TRBV12-3,GO:0006955,NAS
P01737,GO:0006955,NAS
IGHV1-69,GO:0006955,NAS
IGHV1-69,GO:0006955,NAS
IGHV1-46,GO:0006955,NAS
IGHV1-46,GO:0006955,NAS
IGHV1-46,GO:0006955,NAS
IGHV3-11,GO:0006955,NAS
IGHV3-48,GO:0006955,NAS
IGHV3-23,GO:0006955,NAS
IGHV3-23,GO:0006955,NAS
IGHV3-23,GO:0006955,NAS
IGHV3-23,GO:0006955,NAS
IGHV3-13,GO:0006955,NAS
IGHV3-53,GO:0006955,NAS
IGHV3-30,GO:0006955,NAS
IGHV3-30,GO:0006955,NAS
IGHV3-30,GO:0006955,NAS
IGHV3-30,GO:0006955,NAS
IGHV3-33,GO:0006955,NAS
IGHV3-33,GO:0006955,NAS
IGHV3-7,GO:0006955,NAS
IGHV3-7,GO:0006955,NAS
IGHV3-7,GO:0006955,NAS
IGHV3-9,GO:0006955,NAS
IGHV2-70,GO:0006955,NAS
IGHV2-70,GO:0006955,NAS
IGHV2-70,GO:0006955,NAS
IGHV2-5,GO:0006955,NAS
IGHV2-5,GO:0006955,NAS
IGHV4-39,GO:0006955,NAS
IGHV4-59,GO:0006955,NAS
IGKC,GO:0006955,NAS
TRBC1,GO:0006955,NAS
IGHE,GO:0006955,NAS
IGHA1,GO:0006955,NAS
IGHA2,GO:0006955,NAS
IGHD,GO:0006955,NAS
HLA-H,GO:0006955,NAS
HLA-DRA,GO:0006955,NAS
HLA-DRA,GO:0006955,NAS
HLA-DQA2,GO:0006955,NAS
HLA-DQA1,GO:0006955,NAS
HLA-DQA1,GO:0006955,NAS
HLA-DQB1,GO:0006955,NAS
MBP,GO:0006955,TAS
C1QC,GO:0006955,NAS
PPBP,GO:0006955,IBA
PF4,GO:0006955,IBA
CXCL10,GO:0006955,IBA
FTH1,GO:0006955,ISS
SLPI,GO:0006955,ISS
TRGV3,GO:0006955,NAS
TRGC2,GO:0006955,NAS
VTN,GO:0006955,IEA
CSF2,GO:0006955,IEA
IGLV7-43,GO:0006955,NAS
IGKV1-16,GO:0006955,NAS
IGKV1D-39,GO:0006955,NAS
IGKV3-11,GO:0006955,NAS
TCRB,GO:0006955,NAS
TCRA,GO:0006955,NAS
IL4,GO:0006955,TAS
IL5,GO:0006955,IEA
HLA-DQB2,GO:0006955,NAS
CD1A,GO:0006955,NAS
IGKV2-30,GO:0006955,NAS
IGKV4-1,GO:0006955,IBA
IGKV4-1,GO:0006955,NAS
IGKV4-1,GO:0006955,NAS
IGKV4-1,GO:0006955,NAS
IGKV5-2,GO:0006955,NAS
IGHV4-34,GO:0006955,NAS
HLA-DOA,GO:0006955,IEA
C8A,GO:0006955,TAS
C8B,GO:0006955,TAS
THBS1,GO:0006955,IEP
IGF1R,GO:0006955,IMP
NGFR,GO:0006955,IBA
CTSG,GO:0006955,TAS
FCGR3A,GO:0006955,TAS
IL3,GO:0006955,IEA
CXCL1,GO:0006955,IBA
CD7,GO:0006955,TAS
IFI6,GO:0006955,TAS
CSF3,GO:0006955,IEA
IGLC1,GO:0006955,NAS
CXCL8,GO:0006955,IBA
PF4V1,GO:0006955,IBA
CD8B,GO:0006955,NAS
VPREB1,GO:0006955,IBA
FCGR1A,GO:0006955,TAS
GZMA,GO:0006955,TAS
CCL4,GO:0006955,TAS
OSM,GO:0006955,IEA
HLA-DOB,GO:0006955,IEA
IL1R1,GO:0006955,TAS
ETS1,GO:0006955,TAS
LIF,GO:0006955,IEA
IL9,GO:0006955,IEA
VAV1,GO:0006955,IEA
CYP11B1,GO:0006955,TAS
CD1E,GO:0006955,NAS
IGLL1,GO:0006955,NAS
RAG1,GO:0006955,TAS
SPN,GO:0006955,TAS
CTLA4,GO:0006955,TAS
IL7R,GO:0006955,TAS
CEBPB,GO:0006955,TAS
XBP1,GO:0006955,TAS
IL1RN,GO:0006955,NAS
TNFRSF1A,GO:0006955,IBA
CXCL2,GO:0006955,IBA
CXCL3,GO:0006955,IBA
CR2,GO:0006955,NAS
HLA-DPA1,GO:0006955,NAS
TNFRSF1B,GO:0006955,IBA
ENDOU,GO:0006955,IEA
C5AR1,GO:0006955,TAS
BMP6,GO:0006955,IMP
ENPP1,GO:0006955,IEA
RFX1,GO:0006955,TAS
IGHV1-2,GO:0006955,NAS
IGHV1-2,GO:0006955,NAS
TNFSF4,GO:0006955,IEA
IL32,GO:0006955,IEA
FCAR,GO:0006955,TAS
IL4R,GO:0006955,TAS
HRH2,GO:0006955,TAS
PTAFR,GO:0006955,TAS
FAS,GO:0006955,IBA
CTSS,GO:0006955,TAS
CD40,GO:0006955,IBA
CD27,GO:0006955,IBA
CFP,GO:0006955,TAS
IL1R2,GO:0006955,TAS
HLA-DMA,GO:0006955,IEA
HLA-DMB,GO:0006955,IEA
TNFRSF8,GO:0006955,IBA
IL12A,GO:0006955,TAS
IL2RG,GO:0006955,TAS
FCGR2B,GO:0006955,TAS
FCGR2C,GO:0006955,NAS
CEACAM8,GO:0006955,TAS
VIPR1,GO:0006955,TAS
CCR1,GO:0006955,IDA
CCR7,GO:0006955,IEA
GPR183,GO:0006955,TAS
CXCR5,GO:0006955,IEA
GBP2,GO:0006955,TAS
CD70,GO:0006955,IEA
TNFSF8,GO:0006955,IEA
CIITA,GO:0006955,TAS
CNR2,GO:0006955,TAS
CRHR1,GO:0006955,TAS
IL13,GO:0006955,IEA
PTGER4,GO:0006955,IEP
