HGNCSymbol,GOID,Evidence
GMNC,GO:0007049,IEA
SAC3D1,GO:0007049,IEA
MCIDAS,GO:0007049,IEA
TMEM250,GO:0007049,IEA
SUPT5H,GO:0007049,NAS
E2F3,GO:0007049,IEA
CDK2AP1,GO:0007049,IEA
CHEK1,GO:0007049,IEA
GAK,GO:0007049,IEA
MAPK13,GO:0007049,IEA
4-Sep,GO:0007049,IEA
KLK10,GO:0007049,IEA
SIAH2,GO:0007049,IEA
SUV39H1,GO:0007049,IEA
OIP5,GO:0007049,IEA
EPB41L2,GO:0007049,IEA
EVI5,GO:0007049,IEA
CREBL2,GO:0007049,IEA
CCNT1,GO:0007049,IEA
CCNT2,GO:0007049,IEA
PFDN1,GO:0007049,TAS
PRPF40A,GO:0007049,IEA
TACC1,GO:0007049,IEA
KATNA1,GO:0007049,IEA
USP2,GO:0007049,IEA
TUSC2,GO:0007049,IEA
CCNK,GO:0007049,IEA
RNF8,GO:0007049,IEA
STK10,GO:0007049,IEA
CCNDBP1,GO:0007049,IEA
PAK4,GO:0007049,IEA
NR3C1,GO:0007049,IEA
GNAI2,GO:0007049,IEA
KRT18,GO:0007049,IEA
GNAI3,GO:0007049,IEA
CLTA,GO:0007049,IEA
HSMCR30,GO:0007049,IEA
EPB41,GO:0007049,IEA
PIM1,GO:0007049,IEA
SRC,GO:0007049,IEA
MYOG,GO:0007049,IEA
ZNF16,GO:0007049,IEA
TRIM21,GO:0007049,IEA
TAF1,GO:0007049,IEA
CCNO,GO:0007049,IDA
DTYMK,GO:0007049,TAS
MAPK3,GO:0007049,IEA
MAPK1,GO:0007049,IEA
RBL1,GO:0007049,IEA
CCND2,GO:0007049,IEA
CCND3,GO:0007049,IEA
MAPK4,GO:0007049,IEA
AHR,GO:0007049,IEA
RGS2,GO:0007049,IEA
MAP3K8,GO:0007049,IEA
BRCC3,GO:0007049,IEA
CSNK1A1,GO:0007049,IEA
NASP,GO:0007049,ISS
LIG3,GO:0007049,IEA
LIG4,GO:0007049,IEA
ERF,GO:0007049,NAS
RASSF2,GO:0007049,IEA
HCFC1,GO:0007049,IEA
DYNLT3,GO:0007049,IEA
RPS6KA3,GO:0007049,IEA
CCNG1,GO:0007049,IEA
SIK1,GO:0007049,IEA
PPP1CA,GO:0007049,IEA
ARF6,GO:0007049,IEA
BLCAP,GO:0007049,IEA
GNAI1,GO:0007049,IEA
RACK1,GO:0007049,IEA
UBE2I,GO:0007049,IEA
TXNL4A,GO:0007049,IEA
ERH,GO:0007049,IEA
PRR5,GO:0007049,IEA
CDK5,GO:0007049,IEA
INSM1,GO:0007049,IEA
PRKCE,GO:0007049,IEA
PRKCD,GO:0007049,IEA
RBBP4,GO:0007049,IEA
CETN1,GO:0007049,IEA
SMARCB1,GO:0007049,IEA
CDC20,GO:0007049,TAS
GPS1,GO:0007049,TAS
CHAF1A,GO:0007049,IEA
CHAF1B,GO:0007049,IEA
MAPK7,GO:0007049,IEA
GPS2,GO:0007049,TAS
IKZF1,GO:0007049,IEA
PIN1,GO:0007049,IEA
ATR,GO:0007049,TAS
CUL4B,GO:0007049,NAS
TP53BP2,GO:0007049,IEA
CAMK1,GO:0007049,IEA
E2F2,GO:0007049,IEA
NEDD9,GO:0007049,IEA
NOLC1,GO:0007049,TAS
WTAP,GO:0007049,IEA
2-Sep,GO:0007049,IEA
ZMYND11,GO:0007049,IEA
RPS6KA1,GO:0007049,IEA
TERF2,GO:0007049,IEA
MAPRE2,GO:0007049,IEA
DIXDC1,GO:0007049,IEA
PKN2,GO:0007049,IEA
CCNG2,GO:0007049,IEA
MAPK6,GO:0007049,IEA
PLK5,GO:0007049,IEA
LIN52,GO:0007049,IEA
USP39,GO:0007049,IEA
ESCO2,GO:0007049,IEA
FIGN,GO:0007049,IEA
SPDYC,GO:0007049,IEA
SPOUT1,GO:0007049,IEA
AVPI1,GO:0007049,IEA
LIN9,GO:0007049,IEA
RIF1,GO:0007049,IEA
DAB2IP,GO:0007049,IEA
STEAP3,GO:0007049,IEA
KCTD11,GO:0007049,IEA
CDCA2,GO:0007049,IEA
SPECC1L,GO:0007049,IEA
CCSAP,GO:0007049,IEA
PYHIN1,GO:0007049,IEA
LIN54,GO:0007049,IEA
TET2,GO:0007049,IEA
TRNP1,GO:0007049,IEA
RINT1,GO:0007049,IEA
MIS18BP1,GO:0007049,IEA
CDC73,GO:0007049,IEA
LLGL2,GO:0007049,IEA
DCLRE1A,GO:0007049,IEA
TMPRSS11A,GO:0007049,IEA
14-Sep,GO:0007049,IEA
STOX1,GO:0007049,IEA
MAEA,GO:0007049,IEA
MICAL3,GO:0007049,IEA
THAP5,GO:0007049,IEA
CENPV,GO:0007049,IEA
TLK2,GO:0007049,IEA
CUZD1,GO:0007049,IEA
PIM3,GO:0007049,IEA
ZC3HC1,GO:0007049,IEA
NCAPG2,GO:0007049,IEA
SIAH1,GO:0007049,IEA
EGFL6,GO:0007049,TAS
MISP,GO:0007049,IEA
CCAR1,GO:0007049,IEA
MRPL41,GO:0007049,IEA
GSPT2,GO:0007049,IEA
12-Sep,GO:0007049,IEA
BOD1L2,GO:0007049,IEA
HACE1,GO:0007049,IEA
CDK20,GO:0007049,IEA
CCAR2,GO:0007049,IEA
BANP,GO:0007049,IEA
POC5,GO:0007049,IEA
HJURP,GO:0007049,IEA
PAPD5,GO:0007049,IEA
RCBTB1,GO:0007049,IEA
APPL2,GO:0007049,IEA
DBF4B,GO:0007049,IEA
CTCFL,GO:0007049,IEA
MPLKIP,GO:0007049,IEA
URGCP,GO:0007049,IEA
CABLES1,GO:0007049,IEA
RB1CC1,GO:0007049,IEA
PARD3,GO:0007049,IEA
PARD3B,GO:0007049,IEA
CHTF18,GO:0007049,IEA
PPP1R1C,GO:0007049,IEA
PCNP,GO:0007049,IEA
1-Sep,GO:0007049,IEA
DDX12P,GO:0007049,IEA
USP9X,GO:0007049,IEA
PTP4A1,GO:0007049,IEA
TTC28,GO:0007049,IEA
ARL8A,GO:0007049,IEA
SDCCAG3,GO:0007049,IEA
CCDC124,GO:0007049,IEA
LIN37,GO:0007049,IEA
SENP5,GO:0007049,IEA
BOD1,GO:0007049,IEA
LMLN,GO:0007049,IEA
MARK4,GO:0007049,IEA
NSMCE2,GO:0007049,IEA
UHRF2,GO:0007049,IEA
NEK1,GO:0007049,IEA
ERBIN,GO:0007049,NAS
HMCN1,GO:0007049,IEA
UHRF1,GO:0007049,IEA
GPER1,GO:0007049,IEA
CDCA3,GO:0007049,IEA
SPIN2A,GO:0007049,IEA
SPAG8,GO:0007049,IEA
SPIN2B,GO:0007049,IEA
LZTS2,GO:0007049,IEA
PDCD2L,GO:0007049,IEA
PELO,GO:0007049,IEA
ANAPC13,GO:0007049,IEA
RHNO1,GO:0007049,IEA
PIMREG,GO:0007049,IEA
MARVELD1,GO:0007049,IEA
FSD1,GO:0007049,IEA
CABLES2,GO:0007049,IEA
KATNB1,GO:0007049,IEA
CINP,GO:0007049,IEA
BEX2,GO:0007049,IEA
PARD6G,GO:0007049,IEA
PARD6B,GO:0007049,IEA
LRRCC1,GO:0007049,IEA
USP44,GO:0007049,IEA
RBM38,GO:0007049,IEA
TRIOBP,GO:0007049,IEA
TSPYL2,GO:0007049,IEA
RASSF4,GO:0007049,IEA
TXNIP,GO:0007049,IEA
SUV39H2,GO:0007049,IEA
ACTR8,GO:0007049,IEA
BRD7,GO:0007049,IEA
CYLD,GO:0007049,IEA
KMT5A,GO:0007049,IEA
BIRC6,GO:0007049,IEA
HELLS,GO:0007049,IEA
TXLNG,GO:0007049,IEA
11-Sep,GO:0007049,IEA
ARL8B,GO:0007049,IEA
THAP1,GO:0007049,IEA
BABAM1,GO:0007049,IEA
TXNL4B,GO:0007049,IEA
BABAM2,GO:0007049,IEA
SMPD3,GO:0007049,IEA
MIS18A,GO:0007049,IEA
10-Sep,GO:0007049,IEA
HMG20B,GO:0007049,IEA
KLHL42,GO:0007049,IEA
APEX2,GO:0007049,IEA
3-Sep,GO:0007049,IEA
9-Sep,GO:0007049,IEA
KLHL21,GO:0007049,IEA
ING1,GO:0007049,IEA
APPL1,GO:0007049,IEA
TLK1,GO:0007049,IEA
CASP8AP2,GO:0007049,IEA
MCTS1,GO:0007049,IEA
CCPG1,GO:0007049,IEA
USP22,GO:0007049,IEA
MAPRE3,GO:0007049,IEA
JAG2,GO:0007049,NAS
DMTF1,GO:0007049,IEA
RUVBL1,GO:0007049,IEA
RABGAP1,GO:0007049,IEA
FAM32A,GO:0007049,IEA
CD2AP,GO:0007049,IEA
USP16,GO:0007049,TAS
EID1,GO:0007049,IEA
