HGNCSymbol,GOID,Evidence
PRSS37,GO:0016477,IEA
H3BNH8,GO:0016477,IEA
FOXE1,GO:0016477,ISS
PIK3C2A,GO:0016477,IBA
USP9Y,GO:0016477,IBA
PODXL,GO:0016477,ISS
PIK3C2B,GO:0016477,IBA
ITGB1BP1,GO:0016477,TAS
FSCN2,GO:0016477,IBA
LAMA5,GO:0016477,IDA
ARPC5,GO:0016477,IMP
PDPK1,GO:0016477,IMP
PLXNB1,GO:0016477,NAS
NCK2,GO:0016477,IEA
NRDC,GO:0016477,TAS
TSPAN1,GO:0016477,IMP
JAK2,GO:0016477,IBA
SDC3,GO:0016477,IBA
PROP1,GO:0016477,IEA
PRPF40A,GO:0016477,IMP
PIK3C2G,GO:0016477,IBA
GRAP2,GO:0016477,IBA
PAK3,GO:0016477,IBA
SORBS2,GO:0016477,IEA
SNAI1,GO:0016477,IEA
PAK4,GO:0016477,TAS
TGFB1,GO:0016477,IDA
ANG,GO:0016477,IMP
ITGB3,GO:0016477,IMP
ITGB1,GO:0016477,TAS
LCK,GO:0016477,IBA
FYN,GO:0016477,IBA
CDK1,GO:0016477,TAS
ITGAV,GO:0016477,IMP
FES,GO:0016477,IBA
YES1,GO:0016477,IBA
THBS1,GO:0016477,IDA
CD63,GO:0016477,IMP
PDGFRB,GO:0016477,IMP
FGR,GO:0016477,IBA
SBK2,GO:0016477,IBA
PTPRF,GO:0016477,IMP
LAMC1,GO:0016477,IMP
ERG,GO:0016477,IEA
FGFR1,GO:0016477,TAS
PSG2,GO:0016477,NAS
CEACAM1,GO:0016477,NAS
LCP1,GO:0016477,IMP
JUP,GO:0016477,IMP
FLT1,GO:0016477,IMP
ARF4,GO:0016477,IDA
SDC1,GO:0016477,IBA
CDH2,GO:0016477,IEA
PLCG1,GO:0016477,IMP
SLC9A1,GO:0016477,TAS
HOXA5,GO:0016477,IEA
EFNA1,GO:0016477,IDA
COL5A1,GO:0016477,IMP
S1PR1,GO:0016477,ISS
MDK,GO:0016477,IEA
FGFR4,GO:0016477,IMP
RPS6KB1,GO:0016477,IEA
JAK1,GO:0016477,IBA
APC,GO:0016477,IMP
CD24,GO:0016477,ISS
CTGF,GO:0016477,IEA
EPHA2,GO:0016477,IMP
EPHA3,GO:0016477,ISS
IL12A,GO:0016477,IDA
IL12B,GO:0016477,IDA
TYK2,GO:0016477,IBA
SSTR4,GO:0016477,IEA
SDC4,GO:0016477,IBA
L1CAM,GO:0016477,IDA
SDC2,GO:0016477,IBA
PRKCI,GO:0016477,IEA
PIK3CB,GO:0016477,TAS
PIK3CB,GO:0016477,TAS
FRK,GO:0016477,IBA
BDKRB1,GO:0016477,IEA
CD151,GO:0016477,IEA
