identifier	name	namespace	description	class
GO:0019912	cyclin-dependent protein kinase activating kinase activity	molecular_function	Catalysis of the reaction: ATP + a protein = ADP + a phosphoprotein; increases the activity of a cyclin-dependent protein kinase (CDK).	GOTerm
GO:0019915	lipid storage	biological_process	The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development.	GOTerm
GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	biological_process	The process of methylation of peptidyl-arginine to form peptidyl-N(omega),N(omega)-dimethyl-L-arginine.	GOTerm
GO:0019918	peptidyl-arginine methylation, to symmetrical-dimethyl arginine	biological_process	The process of methylation of peptidyl-arginine to form peptidyl-N(omega),N'(omega)-dimethyl-L-arginine.	GOTerm
GO:0006600	creatine metabolic process	biological_process	The chemical reactions and pathways involving creatine (N-(aminoiminomethyl)-N-methylglycine), a compound synthesized from the amino acids arginine, glycine, and methionine that occurs in muscle.	GOTerm
GO:0006601	creatine biosynthetic process	biological_process	The chemical reactions and pathways resulting in the formation of creatine, N-[amino(imino)methyl]-N-methylglycine. Creatine is formed by a process beginning with amidino group transfer from L-arginine to glycine to form guanidinoacetate, followed by methyl group transfer from S-adenosyl-L-methionine to guanidinoacetate; it is then is phosphorylated to form a pool that stores high energy phosphate for the replenishment of ATP during periods of high, or fluctuating energy demand. In animals, most creatine is transported to and used in muscle.	GOTerm
GO:0019902	phosphatase binding	molecular_function	Interacting selectively and non-covalently with any phosphatase.	GOTerm
GO:0019901	protein kinase binding	molecular_function	Interacting selectively and non-covalently with a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate.	GOTerm
GO:0019904	protein domain specific binding	molecular_function	Interacting selectively and non-covalently with a specific domain of a protein.	GOTerm
GO:0019903	protein phosphatase binding	molecular_function	Interacting selectively and non-covalently with any protein phosphatase.	GOTerm
