GO ID	GO name	Size	Clustering index	CI quantile
GO:0007624	ultradian rhythm	1	-0.98773006135	0.0446054136485
GO:0060879	semicircular canal fusion	1	-0.989071038251	0.0319290888296
GO:0033787	cyanocobalamin reductase (cyanide-eliminating) activity	1	-0.988071570577	0.0398398780023
GO:0038101	sequestering of nodal from receptor via nodal binding	1	-0.992217898833	0.0115325962638
GO:0048241	epinephrine transport	1	-0.995073891626	0.00114372855509
GO:1903209	positive regulation of oxidative stress-induced cell death	1	-0.987341772152	0.0490850171559
GO:1904479	negative regulation of intestinal absorption	1	-0.988636363636	0.0344071673656
GO:0033626	positive regulation of integrin activation by cell surface receptor linked signal transduction	1	-0.992509363296	0.00972169271826
GO:0020005	symbiont-containing vacuole membrane	1	-0.993630573248	0.00609988562714
GO:0008405	arachidonic acid 11,12-epoxygenase activity	1	-0.988023952096	0.0411742279832
GO:0052902	spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity	1	-0.99481865285	0.00257338924895
GO:0050677	positive regulation of urothelial cell proliferation	1	-0.989071038251	0.0319290888296
GO:0072285	mesenchymal to epithelial transition involved in metanephric renal vesicle formation	1	-0.991150442478	0.0198246282882
GO:0021966	corticospinal neuron axon guidance	1	-0.989304812834	0.0307853602745
GO:0003837	beta-ureidopropionase activity	1	-0.995348837209	0.000762485703393
GO:0036017	response to erythropoietin	1	-0.988636363636	0.0344071673656
GO:0000966	RNA 5'-end processing	1	-0.987804878049	0.0440335493709
GO:1904506	negative regulation of telomere maintenance in response to DNA damage	1	-0.990610328638	0.0222073961113
GO:0061618	sublamina densa	1	-0.99	0.025162028212
GO:0047613	aconitate decarboxylase activity	1	-0.987951807229	0.0426038886771
GO:0015633	zinc-transporting ATPase activity	1	-0.988235294118	0.037647731605
GO:0102798	heptaldehyde:oxygen oxidoreductase activity	1	-0.993993993994	0.00505146778498
GO:0047730	carnosine synthase activity	1	-0.99416909621	0.00438429279451
GO:0002362	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment	1	-0.989821882952	0.0268776210446
GO:0086037	sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential	1	-0.989247311828	0.0310712924133
GO:0050760	negative regulation of thymidylate synthase biosynthetic process	1	-0.989949748744	0.0258292032024
GO:0005141	interleukin-10 receptor binding	1	-0.987616099071	0.0459397636294
GO:0071614	linoleic acid epoxygenase activity	1	-0.988023952096	0.0411742279832
GO:0050277	sedoheptulokinase activity	1	-0.987368421053	0.0480365993138
GO:0071401	cellular response to triglyceride	1	-0.992857142857	0.00848265345025
GO:0030184	nitric oxide transmembrane transporter activity	1	-0.993630573248	0.00609988562714
GO:0086038	calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential	1	-0.987603305785	0.0464163171941
GO:0002839	positive regulation of immune response to tumor cell	1	-0.990610328638	0.0222073961113
GO:0033059	cellular pigmentation	1	-0.988636363636	0.0344071673656
GO:0032353	negative regulation of hormone biosynthetic process	1	-0.992481203008	0.0103888677087
GO:0033087	negative regulation of immature T cell proliferation	1	-0.991649269311	0.0165840640488
GO:0014052	regulation of gamma-aminobutyric acid secretion	1	-0.994117647059	0.00476553564621
GO:0086069	bundle of His cell to Purkinje myocyte communication	1	-0.988304093567	0.0371711780404
GO:0061832	basal ectoplasmic specialization	1	-0.989361702128	0.030118185284
GO:0086060	voltage-gated sodium channel activity involved in AV node cell action potential	1	-0.989583333333	0.028879146016
GO:1903049	negative regulation of acetylcholine-gated cation channel activity	1	-0.991967871486	0.0136294319482
GO:0017169	CDP-alcohol phosphatidyltransferase activity	1	-0.992047713718	0.0133434998094
GO:0045556	positive regulation of TRAIL biosynthetic process	1	-0.9921875	0.0121044605414
GO:2000854	positive regulation of corticosterone secretion	1	-0.990196078431	0.0242089210827
GO:1901894	regulation of calcium-transporting ATPase activity	1	-0.988764044944	0.0333587495234
GO:0060496	mesenchymal-epithelial cell signaling involved in lung development	1	-0.989071038251	0.0319290888296
GO:0047547	2-methylcitrate dehydratase activity	1	-0.987951807229	0.0426038886771
GO:0018979	trichloroethylene metabolic process	1	-0.990783410138	0.0215402211209
GO:0097145	BAK complex	1	-0.987421383648	0.0478459778879
GO:0015802	basic amino acid transport	1	-0.990950226244	0.0211589782692
GO:0031279	regulation of cyclase activity	1	-0.988372093023	0.0365993137629
GO:0043400	cortisol secretion	1	-0.987341772152	0.0490850171559
GO:1901986	response to ketamine	1	-0.988023952096	0.0411742279832
GO:1901537	positive regulation of DNA demethylation	1	-0.993630573248	0.00609988562714
GO:0036143	kringle domain binding	1	-0.992248062016	0.011246664125
GO:0042494	detection of bacterial lipoprotein	1	-0.989218328841	0.0312619138391
GO:0006507	GPI anchor release	1	-0.992857142857	0.00848265345025
GO:0004960	thromboxane receptor activity	1	-0.994871794872	0.00171559283263
GO:0102797	geranial:oxygen oxidoreductase activity	1	-0.993993993994	0.00505146778498
GO:0031812	P2Y1 nucleotide receptor binding	1	-0.992395437262	0.0110560426992
GO:0009673	low-affinity phosphate transmembrane transporter activity	1	-0.987654320988	0.045177277926
GO:0086043	bundle of His cell action potential	1	-0.989583333333	0.028879146016
GO:0005183	gonadotropin hormone-releasing hormone activity	1	-0.991649269311	0.0165840640488
GO:0099555	trans-synaptic signaling by nitric oxide, modulating synaptic transmission	1	-0.988165680473	0.0387914601601
GO:0010092	specification of animal organ identity	1	-0.988472622478	0.0359321387724
GO:0004919	interleukin-9 receptor activity	1	-0.990338164251	0.0232558139535
GO:1901184	regulation of ERBB signaling pathway	1	-0.991031390135	0.0207777354175
GO:1904141	positive regulation of microglial cell migration	1	-0.991507430998	0.0179184140297
GO:0046521	sphingoid catabolic process	1	-0.989847715736	0.02640106748
GO:0031729	CCR4 chemokine receptor binding	1	-0.990099009901	0.0247807853603
GO:0005590	collagen type VII trimer	1	-0.99512195122	0.000953107129241
GO:0038193	thromboxane A2 signaling pathway	1	-0.994871794872	0.00171559283263
GO:0034679	integrin alpha9-beta1 complex	1	-0.989795918367	0.0274494853222
GO:0032097	positive regulation of response to food	1	-0.987341772152	0.0490850171559
GO:0034346	positive regulation of type III interferon production	1	-0.99124726477	0.018871521159
