GO term	GO size	Size pivot	GO name	CI quantile (GO)	CI quantile (17k random)	Number of random subsets
GO:0001518	13	16	voltage-gated sodium channel complex	0.0062874251497	0.0	14190
GO:0033038	21	16	bitter taste receptor activity	0.000813669650122	0.0	14190
GO:0008527	14	16	taste receptor activity	0.00227014755959	0.0	14190
GO:0008392	14	16	arachidonic acid epoxygenase activity	0.00397275822928	0.0	14190
GO:0086010	26	32	membrane depolarization during action potential	0.00522466039707	0.0	8570
GO:0005549	35	32	odorant binding	0.00126582278481	0.0	8570
GO:0005249	56	64	voltage-gated potassium channel activity	0.0111111111111	0.0	4590
GO:0007608	86	64	sensory perception of smell	0.00294985250737	0.0	4590
GO:0007586	50	64	digestion	0.0120274914089	0.0	4590
GO:0002377	55	64	immunoglobulin production	0.00545454545455	0.0	4590
GO:0003823	135	128	antigen binding	0.0157894736842	0.0	2060
GO:0004984	179	128	olfactory receptor activity	0.0108695652174	0.0	2060
GO:0034765	108	128	regulation of ion transmembrane transport	0.0273109243697	0.0	2060
GO:0007156	143	128	homophilic cell adhesion via plasma membrane adhesion molecules	0.0243243243243	0.0	2060
GO:0005578	254	256	proteinaceous extracellular matrix	0.021978021978	0.0	920
GO:0004252	229	256	serine-type endopeptidase activity	0.0808080808081	0.0	920
GO:0006364	197	256	rRNA processing	0.0806451612903	0.0	920
GO:0007268	198	256	chemical synaptic transmission	0.16	0.0	920
GO:0004930	364	512	G-protein coupled receptor activity	0.0151515151515	0.0	360
GO:0045087	396	512	innate immune response	0.14406779661	0.0	360
GO:0005925	388	512	focal adhesion	0.180327868852	0.0	360
GO:0006955	373	512	immune response	0.0298507462687	0.0	360
GO:0005743	414	512	mitochondrial inner membrane	0.157894736842	0.0	360
GO:0005783	821	1024	endoplasmic reticulum	0.277777777778	0.0	180
GO:0005730	796	1024	nucleolus	0.352941176471	0.0	180
GO:0003723	1318	1024	RNA binding	0.0769230769231	0.0	180
GO:0042802	959	1024	identical protein binding	0.294117647059	0.0	180
GO:0042803	741	1024	protein homodimerization activity	0.210526315789	0.0	180
GO:0016020	1841	2048	membrane	0.285714285714	0.0	50
GO:0070062	2611	2048	extracellular exosome	0.25	0.0	50
GO:0005737	3716	4096	cytoplasm	0.5	0.0	60
GO:0005829	4629	4096	cytosol	0.25	0.0	60
GO:0005654	2957	4096	nucleoplasm	0.333333333333	0.0	60
GO:0000155	6	8	phosphorelay sensor kinase activity	0.00455675227838	4.02090872537e-05	24870
GO:0008188	11	8	neuropeptide receptor activity	0.00142180094787	4.02090872537e-05	24870
GO:0001696	6	8	gastric acid secretion	0.00289975144988	4.02090872537e-05	24870
GO:0005372	6	8	water transmembrane transporter activity	0.00704225352113	4.02090872537e-05	24870
GO:0002323	7	8	natural killer cell activation involved in immune response	0.00287976961843	4.02090872537e-05	24870
GO:0007196	8	8	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway	0.00159108989658	4.02090872537e-05	24870
GO:0008066	10	8	glutamate receptor activity	0.00102669404517	4.02090872537e-05	24870
GO:0001785	2	2	prostaglandin J receptor activity	0.000553097345133	0.000124120810923	24170
GO:0007217	7	8	tachykinin receptor signaling pathway	0.0097192224622	0.000160836349015	24870
GO:0007506	6	8	gonadal mesoderm development	0.0103562551781	0.000160836349015	24870
GO:1903818	8	8	positive regulation of voltage-gated potassium channel activity	0.00397772474145	0.000201045436269	24870
GO:0086015	6	8	SA node cell action potential	0.0122203811102	0.000201045436269	24870
GO:0004970	6	8	ionotropic glutamate receptor activity	0.0128417564209	0.000201045436269	24870
GO:0032098	9	8	regulation of appetite	0.00327102803738	0.000201045436269	24870
GO:0050907	31	32	detection of chemical stimulus involved in sensory perception	0.00557413600892	0.000233372228705	8570
GO:0060349	24	32	bone morphogenesis	0.0258780036969	0.000233372228705	8570
GO:0032281	23	32	AMPA glutamate receptor complex	0.0293282876064	0.000233372228705	8570
GO:0017144	23	32	drug metabolic process	0.019394512772	0.000233372228705	8570
GO:0005333	3	4	norepinephrine transmembrane transporter activity	0.000533807829181	0.000258397932817	34830
GO:0052696	6	8	flavonoid glucuronidation	0.0149130074565	0.000281463610776	24870
