GO term	Primary symbol
GO:0000002	AKT3|LONP1|MEF2A|MGME1|MPV17|MSTO1|OPA1|PIF1|SLC25A33|SLC25A36|SLC25A4|TYMP
GO:0000003	GNRH1|GNRH2|LIN9|MMP23B
GO:0000010	PDSS1|PDSS2
GO:0000012	APLF|APTX|E9PQ18|LIG4|Q6ZNB5|SIRT1|TDP1|TNP1|XRCC1
GO:0000014	DCLRE1C|ENDOG|ERCC1|ERCC4|EXOG|MRE11|RAD50|RBBP8|SETMAR
GO:0000015	ENO1|ENO2|ENO3|ENO4
GO:0000016	LCT
GO:0000018	ALYREF|IL7R|KPNA1|KPNA2|SMARCAD1|THOC1
GO:0000019	ERCC2|MRE11|RAD50
GO:0000022	KIF23|PRC1
GO:0000023	GAA|GANC|MGAM
GO:0000026	ALG9|PIGZ
GO:0000027	BOP1|BRIX1|MDN1|MRPL11|MRPL20|MRTO4|NLE1|NOP2|NOP53|PPAN|RPF2|RPL10|RPL10L|RPL11|RPL12|RPL23A|RPL24|RPL3|RPL3L|RPL5|RPL6|RPLP0|RPLP0P6|RRS1|RSL24D1
GO:0000028	ERAL1|LOC102724159|MRPS11|MRPS7|PWP2|RPS10|RPS10P5|RPS14|RPS15|RPS19|RPS27|RPS27L|RPS28|RPS5|RPSA|RRP7A|RRP7BP
GO:0000030	ALG1|ALG12|ALG1L|ALG1L2|ALG9|DPY19L1|DPY19L2|DPY19L2P2|DPY19L3|DPY19L4|PIGB|PIGV|PIGZ|POMT1|POMT2|TMTC1|TMTC2|TMTC3|TMTC4
GO:0000032	MPI
GO:0000033	ALG2|ALG3|ALG8
GO:0000035	GNAT1|NDUFAB1
GO:0000036	NDUFAB1
GO:0000038	ABCD2|ACAA1|ACOT1|ACOT2|ACOT4|ACOX1|ACSBG1|ACSL1|CYP4F12|CYP4F2|HSD17B4|PEX2|SLC27A5|SLC27A6
GO:0000045	AMBRA1|ATG101|ATG12|ATG13|ATG14|ATG16L1|ATG16L2|ATG2A|ATG2B|ATG3|ATG5|ATG7|ATG9A|ATG9B|BAG3|BECN1|BECN2|EMC6|GABARAP|GABARAPL1|GABARAPL2|GABARAPL3|IRGM|KIAA1324|MAP1LC3A|MAP1LC3B|MAP1LC3B2|MAP1LC3C|NSFL1C|PACS2|PIK3C3|PSEN1|RAB1A|RAB1B|RAB1C|RAB23|RAB33B|RAB7A|RB1CC1|RUFY4|STX12|SYNPO2|TMEM173|TMEM41B|TP53INP1|TP53INP2|TRAPPC8|UBQLN1|UBQLN2|UBXN2A|UBXN2B|ULK1|ULK2|VMP1|WDR45|WDR45B|WIPI1|WIPI2
GO:0000048	GGT1|GGT2|GGT3P|GGT5|GGT7
GO:0000049	AARS|AARS2|AIMP1|ALKBH1|ALKBH8|CARS|CTU1|CTU2|DARS2|DTD1|DTD2|EARS2|EEF1A1|EEFSEC|EIF2A|EIF2AK4|EIF2S3|EIF2S3B|FARS2|FARSA|HSD17B10|IARS|IARS2|IFIT5|IGHMBP2|KARS|MARS|METTL1|MRPS27|NEMF|NSUN2|NSUN3|NSUN6|PSTK|PTCD1|PUS1|RARS|RPL35A|SEPSECS|SLFN11|SLFN13|SSB|TARS|TERT|THG1L|TRMT1|TRMT10A|TRMT10B|TRMT10C|TRMT11|TRMT1L|TRMU|TRNT1|TYW5|XPO5|XPOT|YARS|YARS2|YRDC
GO:0000050	ARG1|ARG2|ASL|ASS1|CEBPA|CPS1|NAGS|NMRAL1|OTC|SLC25A15|SLC25A2
GO:0000052	ASS1|DDAH1|DDAH2
GO:0000053	ASS1
GO:0000054	ABCE1|EIF6|XPO1
GO:0000055	NMD3|NPM1|NUP88|RAN|RRS1|SDAD1|XPO1|ZNF593
GO:0000056	LTV1|NPM1|NUP88|RAN|RPS15|XPO1
GO:0000062	ACAD9|ACADL|ACADVL|ACBD3|ACBD4|ACBD5|ACBD6|ACBD7|ACOT11|ACOT12|ACOT7|ACOT7L|ALDH6A1|ECI2|GCDH|HADHA|HMGCL|SCP2|SOAT1|SOAT2
GO:0000064	SLC25A15|SLC25A2|SLC7A1|SLC7A2|SLC7A3
GO:0000070	BUB3|CDCA8|CENPK|DSN1|ESPL1|HIRA|INCENP|INO80|KIF18A|KIF18B|KIF25|KIFC1|KLHL22|KNSTRN|MAD2L1|MIS12|MSTO1|NDC80|NEK2|NSL1|NUSAP1|PLK1|RAN|SMC1A|SMC4|SPAG5|TUBG1|TUBG2|ZNF207|ZW10|ZWINT
GO:0000076	CDC45|CDC6|CDT1|DNA2|RAD17|RAD9A|TIMELESS|TIPIN
GO:0000077	ATM|ATR|ATRIP|BRIP1|CEP63|CHEK1|CHEK2|CLOCK|CLSPN|DONSON|DOT1L|E2F1|EIF2AK4|FBXO6|H2AFX|HINFP|HUS1|INTS7|MAP3K20|MAPK14|NBN|PEA15|PTPN11|RAD1|RAD17|RAD9A|RHNO1|RPA4|TIPRL|TP53BP1|USP28
GO:0000079	ACTB|BCCIP|BLM|CCNA1|CCNA2|CCNB1|CCNB2|CCNB3|CCNC|CCND1|CCND2|CCND3|CCNE1|CCNE2|CCNF|CCNG1|CCNG2|CCNH|CCNI|CCNI2|CCNJ|CCNJL|CCNK|CCNL1|CCNL2|CCNO|CCNQ|CCNT1|CCNT2|CDC25A|CDC25C|CDC37|CDC6|CDK4|CDK5R1|CDK5R2|CDK5RAP3|CDK7|CDKN1A|CDKN1B|CDKN2B|CDKN2C|CDKN2D|CDKN3|CNPPD1|CNTD2|DIRAS3|GADD45A|GTF2H1|GTPBP4|HERC5|MNAT1|PKMYT1|PTEN|SERTAD1|SFN
GO:0000082	ACVR1|ACVR1B|BCAT1|CACUL1|CAMK2A|CCND1|CCNE1|CCNE2|CCNH|CDC25A|CDC34|CDC45|CDC6|CDC7|CDK2|CDK3|CDK4|CDK6|CDK7|CDKN1A|CDKN1B|CDKN2A|CDKN2C|CDKN2D|CDKN3|CDT1|CRLF3|CUL1|CUL2|CUL3|CUL4A|CUL4B|CUL5|DBF4|EIF4E|EIF4EBP1|GMNN|GPR132|GSPT1|HINFP|ID4|INHBA|IQGAP3|ITGB1|KHDRBS1|LATS1|LATS2|MAX|MCM10|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MCM8|MNAT1|MYC|NASP|ORC1|ORC2|ORC3|ORC4|ORC5|ORC6|PHF8|PIAS1|PIM2|PLK2|PLK3|POLA1|POLA2|POLE|POLE2|POLE3|POLE4|PPAT|PPP3CA|PPP6C|PRIM1|PRIM2|RB1|RBBP8|RCC1|RHOU|RPA1|RPA2|RPA3|RPA4|RPS6|RPS6KB1|SKP2|SPDYA|TAF10|TFDP3|TRIM71|USP26|USP29|USP37
GO:0000083	BACH1|BRD4|CCNA1|CCNE1|CDC45|CDC6|CDT1|DHFR|E2F1|E2F4|E2F6|FBXO5|GFI1|HINFP|KLF11|NPAT|ORC1|PCNA|POLA1|RRM2|TFDP1|TFDP2|TYMS
