Primary symbol	GO terms
A0A075B6Q4	GO:0000056|GO:0005634|GO:0030688|GO:0031902|GO:0034448|GO:0042274
A0A087WSZ3	GO:0003677|GO:0003700|GO:0006355
A0A087WUJ7	GO:0004553|GO:0005975
A0A087WUU8	GO:0003676|GO:0005622|GO:0006355|GO:0046872
A0A087WUV0	GO:0003676|GO:0003700|GO:0005622|GO:0006355|GO:0046872
A0A087WV48	GO:0000413|GO:0003755|GO:0005528|GO:0005737|GO:0061077
A0A087WVE0	GO:0005634
A0A087WW49	GO:0003823|GO:0006910|GO:0006911|GO:0006958|GO:0009897|GO:0034987|GO:0042571|GO:0042742|GO:0045087|GO:0050853|GO:0050871|GO:0072562
A0A087WWV3	GO:0000731|GO:0003887|GO:0005634|GO:0005730|GO:0005739|GO:0005829|GO:0006261|GO:0043625
A0A087WX48	GO:0008270|GO:0016814
A0A087WYN8	GO:0005634|GO:0005737|GO:0005829|GO:0006595|GO:0008073|GO:0043086|GO:0045732
A0A087WZ62	GO:0000030|GO:0005783|GO:0005789|GO:0016021|GO:0097502
A0A087WZG4	GO:0003676|GO:0005089|GO:0005829|GO:0005886|GO:0035023|GO:0065009
A0A087X002	GO:0005509
A0A087X0B3	GO:0005506|GO:0008392|GO:0008395|GO:0019373|GO:0020037|GO:0055114
A0A087X1B8	GO:0006633|GO:0050080
A0A088AWK7	GO:0003676|GO:0005622|GO:0006355
A0A096LPI6	GO:0005739
A0A096LPK6	GO:0006306|GO:0019899|GO:0030234|GO:0050790
A0A0A0MRY4	GO:0005089|GO:0035023|GO:0065009
A0A0A6YYH2	GO:0005654
A0A0A6YYJ9	GO:0005887|GO:0015125|GO:0015347|GO:0015721|GO:0043252|GO:0055085
A0A0A6YYK5	GO:0003677|GO:0005634
A0A0B4J203	GO:0001553|GO:0001701|GO:0002244|GO:0005018|GO:0005524|GO:0005654|GO:0005737|GO:0005902|GO:0008210|GO:0009897|GO:0018108|GO:0023019|GO:0030198|GO:0030324|GO:0030325|GO:0030539|GO:0032403|GO:0033327|GO:0035790|GO:0042060|GO:0042475|GO:0046777|GO:0048407|GO:0048557|GO:0048701|GO:0055003|GO:0060021|GO:0060325|GO:0060326|GO:0061298|GO:0071230|GO:0072277
A0A0B4J269	GO:0003924|GO:0004930|GO:0005200|GO:0005525|GO:0005874|GO:0007010|GO:0007017|GO:0007186|GO:0016021
A0A0B4J293	GO:0004842|GO:0016567|GO:0046872|GO:0071797
A0A0B4J2A0	GO:0005975|GO:0016773
A0A0C4DFX4	GO:0003677|GO:0005524
A0A0D9SEW6	GO:0005507
A0A0D9SG24	GO:0000790|GO:0003899|GO:0005666|GO:0006383
A0A0G2JK05	GO:0016021
A0A0G2JLL6	GO:0009607|GO:0016020|GO:0016021
A0A0G2JLM5	GO:0016021
A0A0G2JMP0	GO:0004930|GO:0004984|GO:0005886|GO:0007186|GO:0016021|GO:0050911
A0A0G2JMZ2	GO:0016021
A0A0G2JNG1	GO:0016021
A0A0G2JPF8	GO:0003723|GO:0005634
A0A0G2JRQ6	GO:0002377|GO:0005615|GO:0006955
A0A0G2JS52	GO:0003700|GO:0005634|GO:0006355|GO:0008270
A0A0J9YVX5	GO:0004672|GO:0005524|GO:0006468
A0A0J9YYE9	GO:0016021
A0A0U1RQJ8	GO:0000077
A0A0U1RQK1	GO:0003676|GO:0005622|GO:0006355|GO:0046872
A0A0U1RQS6	GO:0016021
A0A0U1RQV5	GO:0042256|GO:0043022
A0A0U1RRA0	GO:0016021
A0A0X1KG70	GO:0004930|GO:0004984|GO:0005886|GO:0007186|GO:0016021|GO:0050911
A0A1B0GTG8	GO:0016021
A0A1B0GTQ1	GO:0005506|GO:0016712|GO:0020037|GO:0055114
A0A1B0GTW7	GO:0004222|GO:0006508|GO:0007155|GO:0016021
A0A1B0GU03	GO:0004190|GO:0006508|GO:0009607|GO:0016021
A0A1B0GUH1	GO:0004047|GO:0005739|GO:0006546|GO:0008483|GO:0032259
A0A1B0GUL6	GO:0005654
A0A1B0GUL7	GO:0004672|GO:0005524|GO:0006468
A0A1B0GUZ9	GO:0016021
A0A1B0GV72	GO:0003676|GO:0005622|GO:0006355
A0A1B0GV90	GO:0016021
A0A1B0GVC2	GO:0046872
A0A1B0GVI7	GO:0003700|GO:0004874|GO:0005634|GO:0006351|GO:0006355|GO:0009410|GO:0030522|GO:0034751|GO:0046983
A0A1B0GVM2	GO:0005886|GO:0030054
A0A1B0GVT2	GO:0016021
A0A1B0GVX0	GO:0016021
A0A1B0GW54	GO:0016021
A0A1B0GW55	GO:0003677|GO:0005634
A0A1B0GW64	GO:0016021
A0A1B0GWB2	GO:0009607|GO:0016021
A0A1B0GWJ7	GO:0005764
A0A1W2PN81	GO:0004888|GO:0016021|GO:0022848|GO:0030054|GO:0034220|GO:0045211|GO:0060079
A0A1W2PNV4	GO:0005885|GO:0034314
A0A1W2PP11	GO:0004252|GO:0006508|GO:0016021
A0A1W2PP64	GO:0004866|GO:0005615|GO:0010951
A0A1W2PPE2	GO:0005634|GO:0006367|GO:0046982
A0A1W2PPH5	GO:0005634|GO:0006367|GO:0046982
A0A1W2PPI3	GO:0016021
A0A1W2PPK0	GO:0003677|GO:0005634
A0A1W2PPL8	GO:0005634|GO:0006367|GO:0046982
A0A1W2PPM1	GO:0003677|GO:0005634
A0A1W2PPQ1	GO:0005739|GO:0005960|GO:0016021|GO:0019464
A0A1W2PPV4	GO:0000155|GO:0000160|GO:0005249|GO:0005622|GO:0005887|GO:0023014|GO:0071805
A0A1W2PPW3	GO:0005634|GO:0006367|GO:0046982
A0A1W2PQ09	GO:0005634|GO:0006367|GO:0046982
A0A1W2PQ27	GO:0004721|GO:0005634|GO:0006397|GO:0006470
A0A1W2PQ45	GO:0016021
A0A1W2PQ64	GO:0004721|GO:0005634|GO:0006397|GO:0006470
A0A1W2PQ67	GO:0003676|GO:0005622|GO:0006355
A0A1W2PQC6	GO:0004721|GO:0005634|GO:0006397|GO:0006470
A0A1W2PQD8	GO:0004721|GO:0005634|GO:0006397|GO:0006470
A0A1W2PQJ5	GO:0004721|GO:0005634|GO:0006397|GO:0006470
A0A1W2PQL4	GO:0003676|GO:0005622|GO:0006355|GO:0046872
A0A1W2PQM1	GO:0016021
A0A1W2PQY0	GO:0016021
A0A1W2PR48	GO:0005634|GO:0006355
A0A1W2PR64	GO:0005634|GO:0006367|GO:0046982
A0A1W2PRB8	GO:0001104|GO:0006357|GO:0016592
A0A1W2PRG6	GO:0005249|GO:0005887|GO:0071805
A0A1W2PRV1	GO:0005634|GO:0006367|GO:0046982
A0A1W2PS18	GO:0009607|GO:0016021
A0A1W2PS29	GO:0005739|GO:0005960|GO:0019464
A0A286YEE6	GO:0016021
A0A286YES4	GO:0006644|GO:0016021|GO:0016311|GO:0030111|GO:0042577
A0A286YET3	GO:0080048
A0A286YEU6	GO:0004984|GO:0007186|GO:0016021|GO:0050911
A0A286YEX6	GO:0004930|GO:0004984|GO:0005886|GO:0007186|GO:0016021|GO:0050911
A0A286YF18	GO:0016021
A0A286YF32	GO:0004252|GO:0006508
A0A286YF58	GO:0016021
A0A286YFD6	GO:0009263|GO:0055114
A0A286YFG3	GO:0007165|GO:0016021
A0A286YFK9	GO:0016021
A0A286YFN4	GO:0004930|GO:0007186|GO:0016021
A1BG	GO:0002576|GO:0003674|GO:0005576|GO:0005615|GO:0008150|GO:0031012|GO:0031093|GO:0034774|GO:0043312|GO:0070062|GO:0072562|GO:1904813
A1CF	GO:0003723|GO:0003725|GO:0003727|GO:0005515|GO:0005654|GO:0005737|GO:0005783|GO:0006397|GO:0016554|GO:0016556|GO:0030895|GO:0050821
A2M	GO:0001869|GO:0002020|GO:0002576|GO:0004867|GO:0005096|GO:0005102|GO:0005515|GO:0005576|GO:0005829|GO:0007597|GO:0010951|GO:0019838|GO:0019899|GO:0019959|GO:0019966|GO:0022617|GO:0031093|GO:0043120|GO:0043547|GO:0048306|GO:0048863|GO:0051056|GO:0070062|GO:0072562
A2ML1	GO:0004867|GO:0005615|GO:0010951|GO:0030414|GO:0052548|GO:0070062
A3GALT2	GO:0001962|GO:0005794|GO:0005975|GO:0006688|GO:0009247|GO:0016021|GO:0016757|GO:0030259|GO:0031982|GO:0032580|GO:0046872|GO:0047276
A4GALT	GO:0001576|GO:0006486|GO:0006688|GO:0007009|GO:0008378|GO:0015643|GO:0016020|GO:0030173|GO:0050512|GO:0070062
A4GNT	GO:0000139|GO:0005975|GO:0006493|GO:0008375|GO:0009101|GO:0016020|GO:0016021|GO:0016266|GO:0050680
A6NDX4	GO:0016021
A6NIZ1	GO:0003924|GO:0005525|GO:0005829|GO:0005886|GO:0007165
A6NJ64	GO:0005654
A6NJY4	GO:0016021
A6NLC8	GO:0005634|GO:0006367|GO:0046982
A6NNC1	GO:0016021
A6NNZ2	GO:0003924|GO:0005200|GO:0005525|GO:0005737|GO:0005874|GO:0007010|GO:0007017|GO:0070062
A8MTW9	GO:0005576
A8MUN3	GO:0005576
A8MWL6	GO:0016021
A8MWV9	GO:0016021
A8MXE2	GO:0000139|GO:0006486|GO:0008378|GO:0016021
AAAS	GO:0003674|GO:0005634|GO:0005635|GO:0005643|GO:0005654|GO:0005813|GO:0005829|GO:0006110|GO:0006406|GO:0006409|GO:0006913|GO:0007077|GO:0007612|GO:0009566|GO:0016020|GO:0016032|GO:0016925|GO:0019083|GO:0031965|GO:0043657|GO:0046822|GO:0060964|GO:0075733|GO:1900034
AACS	GO:0001889|GO:0005515|GO:0005524|GO:0005829|GO:0006631|GO:0007584|GO:0014074|GO:0030729|GO:0032024|GO:0034201|GO:0042594|GO:0045471|GO:0046951|GO:0047760|GO:0050872|GO:0060612|GO:0071333|GO:0071394|GO:0071397
AADAC	GO:0003824|GO:0004806|GO:0005789|GO:0006805|GO:0009056|GO:0010898|GO:0016021|GO:0016298|GO:0017171|GO:0019213|GO:0031090
AADACL2	GO:0005576|GO:0009056|GO:0016021|GO:0016787|GO:0052689
AADACL3	GO:0009056|GO:0016787
AADACL4	GO:0009056|GO:0016021|GO:0016787|GO:0052689
AADAT	GO:0005759|GO:0006103|GO:0006536|GO:0006554|GO:0006569|GO:0009058|GO:0016212|GO:0019441|GO:0030170|GO:0033512|GO:0042803|GO:0047536|GO:0070189|GO:0097052
AAED1	GO:0016209|GO:0055114|GO:0098869
AAGAB	GO:0005515|GO:0005737|GO:0005829|GO:0015031|GO:0016607
AAK1	GO:0004674|GO:0005112|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005905|GO:0006468|GO:0006897|GO:0019897|GO:0030136|GO:0031252|GO:0032880|GO:0035612|GO:0043195|GO:0045747|GO:0046777|GO:0050821|GO:0061024|GO:2000369
AAMDC	GO:0005515|GO:0005737|GO:0043066|GO:0045600|GO:0045944
AAMP	GO:0001525|GO:0005829|GO:0005886|GO:0008201|GO:0009986|GO:0010595|GO:0014909|GO:0015630|GO:0030154|GO:0030687|GO:0042273|GO:0045171|GO:0051082
AANAT	GO:0004059|GO:0004060|GO:0005515|GO:0005829|GO:0006474|GO:0007623|GO:0009416|GO:0009648|GO:0010043|GO:0030187|GO:0032868|GO:0034097|GO:0034695|GO:0046219|GO:0046688|GO:0048471|GO:0051412|GO:0051592|GO:0071320|GO:0071889
AAR2	GO:0000244|GO:0005681
AARD	GO:0030324
AARS	GO:0000049|GO:0002161|GO:0004813|GO:0005524|GO:0005737|GO:0005739|GO:0005829|GO:0006400|GO:0006418|GO:0006419|GO:0008033|GO:0016020|GO:0016597|GO:0021680|GO:0043524|GO:0046872|GO:0050885|GO:0070062|GO:0106074
AARS2	GO:0000049|GO:0004813|GO:0005524|GO:0005739|GO:0006400|GO:0016597|GO:0033108|GO:0046872|GO:0070143
AARSD1	GO:0002196|GO:0003674|GO:0003676|GO:0004813|GO:0005524|GO:0005634|GO:0005737|GO:0006419|GO:0008150|GO:0046872|GO:0106074
AASDH	GO:0005524|GO:0006631|GO:0016878|GO:0019482|GO:0043041
AASDHPPT	GO:0000287|GO:0005515|GO:0005829|GO:0008897|GO:0015939|GO:0019878|GO:0070062
AASS	GO:0004753|GO:0005739|GO:0005759|GO:0006091|GO:0006554|GO:0019878|GO:0033512|GO:0043231|GO:0047130|GO:0047131|GO:0051262|GO:0055114
AATF	GO:0003700|GO:0003723|GO:0005515|GO:0005634|GO:0005730|GO:0005737|GO:0005794|GO:0006974|GO:0007155|GO:0007346|GO:0032929|GO:0040016|GO:0042254|GO:0042985|GO:0043066|GO:0043522|GO:0045944|GO:0048156|GO:2000378
AATK	GO:0004674|GO:0005524|GO:0005575|GO:0006468|GO:0008150|GO:0016021|GO:0048471
ABAT	GO:0001666|GO:0003867|GO:0005739|GO:0005759|GO:0007568|GO:0007620|GO:0007626|GO:0009449|GO:0009450|GO:0010039|GO:0014053|GO:0021549|GO:0030170|GO:0031652|GO:0032024|GO:0032144|GO:0032145|GO:0033602|GO:0034386|GO:0035094|GO:0035640|GO:0042135|GO:0042803|GO:0043005|GO:0045471|GO:0045776|GO:0045964|GO:0046872|GO:0047298|GO:0048148|GO:0051536|GO:0070062|GO:0070474|GO:0090331|GO:0097151|GO:1902722|GO:1904450
ABCA1	GO:0005102|GO:0005515|GO:0005524|GO:0005543|GO:0005548|GO:0005789|GO:0005794|GO:0005886|GO:0005887|GO:0006497|GO:0006911|GO:0007040|GO:0007186|GO:0007189|GO:0007584|GO:0008203|GO:0008509|GO:0009897|GO:0010745|GO:0010875|GO:0010887|GO:0015485|GO:0016197|GO:0016887|GO:0017127|GO:0019216|GO:0019905|GO:0030139|GO:0031267|GO:0032367|GO:0032489|GO:0033344|GO:0033700|GO:0034185|GO:0034186|GO:0034188|GO:0034364|GO:0034380|GO:0034616|GO:0038027|GO:0042493|GO:0042626|GO:0042632|GO:0043231|GO:0043691|GO:0045121|GO:0045332|GO:0045335|GO:0048471|GO:0050702|GO:0051117|GO:0055091|GO:0060155|GO:0071222|GO:0071300|GO:0071397|GO:0071404|GO:0090107|GO:0090554|GO:0090556|GO:0098656
ABCA10	GO:0005524|GO:0006869|GO:0016021|GO:0042626|GO:0043231|GO:0055085
ABCA11P	GO:0005524|GO:0006869|GO:0016021|GO:0042626|GO:0043231|GO:0055085
ABCA12	GO:0005102|GO:0005319|GO:0005515|GO:0005524|GO:0005737|GO:0005743|GO:0005829|GO:0005886|GO:0006869|GO:0010875|GO:0016021|GO:0019725|GO:0031424|GO:0032940|GO:0033700|GO:0034040|GO:0034191|GO:0035627|GO:0042626|GO:0043129|GO:0043231|GO:0045055|GO:0048286|GO:0055085|GO:0055088|GO:0061436|GO:0072659|GO:0097209|GO:2000010
ABCA13	GO:0005524|GO:0005886|GO:0006869|GO:0016021|GO:0030667|GO:0035577|GO:0042626|GO:0043231|GO:0043312|GO:0055085
ABCA2	GO:0000166|GO:0005524|GO:0005764|GO:0005765|GO:0005768|GO:0005815|GO:0006357|GO:0006629|GO:0010008|GO:0016020|GO:0016021|GO:0016887|GO:0031410|GO:0032383|GO:0042493|GO:0042626|GO:0042632|GO:0043190|GO:0048545|GO:0055085|GO:0070723
ABCA3	GO:0005215|GO:0005319|GO:0005524|GO:0005615|GO:0005886|GO:0006810|GO:0006869|GO:0016020|GO:0016021|GO:0042493|GO:0042626|GO:0043231|GO:0044267|GO:0051384|GO:0055085|GO:0097208|GO:0097232|GO:0097233
ABCA4	GO:0001523|GO:0005215|GO:0005395|GO:0005524|GO:0005887|GO:0006649|GO:0006810|GO:0007601|GO:0007603|GO:0016020|GO:0016887|GO:0042626|GO:0043231|GO:0045332|GO:0045494|GO:0055085|GO:0090555|GO:0097381
ABCA5	GO:0000139|GO:0005319|GO:0005524|GO:0005764|GO:0005765|GO:0005770|GO:0006869|GO:0010745|GO:0016021|GO:0031902|GO:0033344|GO:0034375|GO:0042626|GO:0043231|GO:0043691|GO:0055085
ABCA6	GO:0005524|GO:0005654|GO:0006869|GO:0016021|GO:0042626|GO:0043231|GO:0055085
ABCA7	GO:0000139|GO:0001891|GO:0005215|GO:0005524|GO:0005794|GO:0005886|GO:0006909|GO:0007613|GO:0009986|GO:0010875|GO:0016021|GO:0016887|GO:0018149|GO:0030054|GO:0031901|GO:0032587|GO:0033344|GO:0033700|GO:0034188|GO:0034380|GO:0034504|GO:0038027|GO:0042626|GO:0042985|GO:0043190|GO:0043231|GO:0045332|GO:0050766|GO:0055085|GO:0070374|GO:0090554|GO:0090556|GO:1900223|GO:1901076|GO:1902430|GO:1902995
ABCA8	GO:0005524|GO:0005743|GO:0005886|GO:0006855|GO:0006869|GO:0008559|GO:0016021|GO:0042626|GO:0042908|GO:0055085
ABCA9	GO:0005524|GO:0005739|GO:0006869|GO:0016021|GO:0042626|GO:0043231|GO:0055085
ABCB1	GO:0000086|GO:0005215|GO:0005515|GO:0005524|GO:0005886|GO:0006810|GO:0006855|GO:0008559|GO:0009986|GO:0016020|GO:0016021|GO:0016324|GO:0042493|GO:0042626|GO:0042908|GO:0045332|GO:0047484|GO:0055085|GO:0070062|GO:0072089|GO:0090554|GO:0090555|GO:0099038|GO:0099040|GO:1901529|GO:2001225
ABCB10	GO:0005215|GO:0005524|GO:0005743|GO:0006839|GO:0032592|GO:0042626|GO:0042803|GO:0055085
ABCB11	GO:0005215|GO:0005524|GO:0005886|GO:0005887|GO:0006699|GO:0006810|GO:0008554|GO:0015126|GO:0015432|GO:0015721|GO:0015722|GO:0016020|GO:0035725|GO:0045177|GO:0046581|GO:0070062|GO:0099132
