Synonym	Primary symbols	Ambiguity
101F10.2	C16orf62	0
101F6	CYB561D2	0
12LO	ALOX12	0
1433B_HUMAN	YWHAB	0
1433E_HUMAN	YWHAE	0
1433F_HUMAN	YWHAH	0
1433G_HUMAN	YWHAG	0
1433S_HUMAN	SFN	0
1433T_HUMAN	YWHAQ	0
1433Z_HUMAN	YWHAZ	0
15E1.1	TRIAP1	0
15E1.2	GATC	0
199G4	RBM22	0
1A13B	NBR1	0
1A1L1_HUMAN	ACCS	0
1A1L2_HUMAN	ACCSL	0
1A68_HUMAN	HLA-A	0
1B73_HUMAN	HLA-B	0
1C17_HUMAN	HLA-C	0
1C7	NCR3	0
1R20	RGS1	0
1R21	ID3	0
2-19	FAM3A	0
2.19	FAM3A	0
2A5A_HUMAN	PPP2R5A	0
2A5B_HUMAN	PPP2R5B	0
2A5D_HUMAN	PPP2R5D	0
2A5E_HUMAN	PPP2R5E	0
2A5G_HUMAN	PPP2R5C	0
2AAA_HUMAN	PPP2R1A	0
2AAB_HUMAN	PPP2R1B	0
2ABA_HUMAN	PPP2R2A	0
2ABB_HUMAN	PPP2R2B	0
2ABD_HUMAN	PPP2R2D	0
2ABG_HUMAN	PPP2R2C	0
2B1F_HUMAN	HLA-DRB1	0
2B4	CD244	0
2DD	DHDH	0
3'EXO	ERI1	0
3BH	HSD3B1	0
3BHS1_HUMAN	HSD3B1	0
3BHS2_HUMAN	HSD3B2	0
3BHS7_HUMAN	HSD3B7	0
3BP1_HUMAN	SH3BP1	0
3BP2	SH3BP2	0
3BP2_HUMAN	SH3BP2	0
3BP5L_HUMAN	SH3BP5L	0
3BP5_HUMAN	SH3BP5	0
3HAO_HUMAN	HAAO	0
3HIDH_HUMAN	HIBADH	0
3MG_HUMAN	MPG	0
3OST	HS3ST1	0
3OST1	HS3ST1	0
3OST2	HS3ST2	0
3OST3A1	HS3ST3A1	0
3OST3B1	HS3ST3B1	0
3OST4	HS3ST4	0
3OST5	HS3ST5	0
41_HUMAN	EPB41	0
44M2.3	REXO5	0
4EBP1_HUMAN	EIF4EBP1	0
4EBP2_HUMAN	EIF4EBP2	0
4EBP3_HUMAN	EIF4EBP3	0
4ET_HUMAN	EIF4ENIF1	0
4F2_HUMAN	SLC3A2	0
4P11	CRYZL1	0
4SPAN1	MS4A4A	0
4SPAN2	MS4A7	0
4SPAN3	MS4A6A	0
4SPAN4	MS4A8	0
54TM	YIF1A	0
582J2.1	IL4R	0
5HT1A_HUMAN	HTR1A	0
5HT1B_HUMAN	HTR1B	0
5HT1D_HUMAN	HTR1D	0
5HT1E_HUMAN	HTR1E	0
5HT1F_HUMAN	HTR1F	0
5HT2A_HUMAN	HTR2A	0
5HT2B_HUMAN	HTR2B	0
5HT2C_HUMAN	HTR2C	0
5HT3A_HUMAN	HTR3A	0
5HT3B_HUMAN	HTR3B	0
5HT3C_HUMAN	HTR3C	0
5HT3D_HUMAN	HTR3D	0
5HT3E_HUMAN	HTR3E	0
5HT3R	HTR3A	0
5HT4R_HUMAN	HTR4	0
5HT5A_HUMAN	HTR5A	0
5HT6R_HUMAN	HTR6	0
5HT7R_HUMAN	HTR7	0
5NT1A_HUMAN	NT5C1A	0
5NT1B_HUMAN	NT5C1B	0
5NT3A_HUMAN	NT5C3A	0
5NT3B_HUMAN	NT5C3B	0
5NTC_HUMAN	NT5C2	0
5NTD_HUMAN	NT5E	0
5T4	TPBG	0
68MP_HUMAN	MP68	0
6PGD_HUMAN	PGD	0
6PGL_HUMAN	PGLS	0
76P	TUBGCP4	0
7B2_HUMAN	SCG5	0
8D6A	CD320	0
8ODP_HUMAN	NUDT1	0
9804	LY6E	0
99D8.1	CCT2	0
A-152E5.1	CCL22	0
A-152E5.2	CX3CL1	0
A-152E5.7	POLR2C	0
A0A024R161_HUMAN	DNAJC25-GNG10	0
A0A075B6H7_HUMAN	IGKV3-7	0
A0A075B6H8_HUMAN	IGKV1D-42	0
A0A075B6I3_HUMAN	IGLV11-55	0
A0A075B6I6_HUMAN	IGLV1-50	0
A0A075B6I7_HUMAN	IGLV5-48	0
A0A075B6J2_HUMAN	IGLV2-33	0
A0A075B6Q4_HUMAN	A0A075B6Q4	0
A0A075B6R9_HUMAN	IGKV2D-24	0
A0A075B6S9_HUMAN	IGKV1D-37	0
A0A075B6T8_HUMAN	TRAV9-1	0
A0A075B6X5_HUMAN	TRAV18	0
A0A075B734_HUMAN	LOC100509620	0
A0A075B767_HUMAN	LOC105371242	0
A0A075B7B8_HUMAN	IGHV3OR16-12	0
A0A075B7D0_HUMAN	IGHV1OR15-1	0
A0A075B7D4_HUMAN	IGKV1OR2-108	0
A0A075B7D8_HUMAN	IGHV3OR15-7	0
A0A075B7E8_HUMAN	IGHV3OR16-13	0
A0A075B7F0_HUMAN	IGHV3OR16-10	0
A0A075B7F1_HUMAN	IGHV3OR16-8	0
A0A087WSZ3_HUMAN	A0A087WSZ3	0
A0A087WT02_HUMAN	TRAV9-2	0
A0A087WTJ2_HUMAN	GIMAP1-GIMAP5	0
A0A087WUJ7_HUMAN	A0A087WUJ7	0
A0A087WUM0_HUMAN	SYNJ2BP-COX16	0
A0A087WUU8_HUMAN	A0A087WUU8	0
A0A087WUV0_HUMAN	A0A087WUV0	0
A0A087WV48_HUMAN	A0A087WV48	0
A0A087WV96_HUMAN	CYP3A7-CYP3A51P	0
A0A087WVE0_HUMAN	A0A087WVE0	0
A0A087WW49_HUMAN	A0A087WW49	0
A0A087WWV3_HUMAN	A0A087WWV3	0
A0A087WX48_HUMAN	A0A087WX48	0
A0A087WYN8_HUMAN	A0A087WYN8	0
A0A087WZ62_HUMAN	A0A087WZ62	0
A0A087WZ82_HUMAN	FXYD6-FXYD2	0
A0A087WZG4_HUMAN	A0A087WZG4	0
A0A087X002_HUMAN	A0A087X002	0
A0A087X0B3_HUMAN	A0A087X0B3	0
A0A087X0R7_HUMAN	SENP3-EIF4A1	0
A0A087X1B8_HUMAN	A0A087X1B8	0
A0A087X1L8_HUMAN	LOC102723996	0
A0A088AWK7_HUMAN	A0A088AWK7	0
A0A096LPE2_HUMAN	SAA2-SAA4	0
A0A096LPH7_HUMAN	LOC102724200	0
A0A096LPI6_HUMAN	A0A096LPI6	0
A0A096LPK6_HUMAN	A0A096LPK6	0
A0A096LPK9_HUMAN	LOC105369274	0
A0A0A0MRY4_HUMAN	A0A0A0MRY4	0
A0A0A0MS00_HUMAN	IGLV3-32	0
A0A0A0MSL8_HUMAN	RBM14-RBM4	0
A0A0A6YY99_HUMAN	TNFSF12-TNFSF13	0
A0A0A6YYA0_HUMAN	TMED7-TICAM2	0
A0A0A6YYC5_HUMAN	TRAV14DV4	0
A0A0A6YYC7_HUMAN	ZFP91-CNTF	0
A0A0A6YYF3_HUMAN	GPR75-ASB3	0
A0A0A6YYG9_HUMAN	ARPC4-TTLL3	0
A0A0A6YYH1_HUMAN	C15orf38-AP3S2	0
A0A0A6YYH2_HUMAN	A0A0A6YYH2	0
A0A0A6YYI6_HUMAN	ZNF559-ZNF177	0
A0A0A6YYJ0_HUMAN	MSANTD3-TMEFF1	0
A0A0A6YYJ9_HUMAN	A0A0A6YYJ9	0
A0A0A6YYK5_HUMAN	A0A0A6YYK5	0
A0A0A6YYK7_HUMAN	TRAV19	0
A0A0A6YYL0_HUMAN	TGIF2-C20orf24	0
A0A0A6YYL1_HUMAN	ST20-MTHFS	0
A0A0A6YYL6_HUMAN	RPL17-C18orf32	0
A0A0B4J1V7_HUMAN	IGHV7-81	0
A0A0B4J1V8_HUMAN	PPAN-P2RY11	0
A0A0B4J203_HUMAN	A0A0B4J203	0
A0A0B4J234_HUMAN	TRAV2	0
A0A0B4J264_HUMAN	TRAV38-1	0
A0A0B4J269_HUMAN	A0A0B4J269	0
A0A0B4J280_HUMAN	TRAV40	0
A0A0B4J293_HUMAN	A0A0B4J293	0
A0A0B4J2A0_HUMAN	A0A0B4J2A0	0
A0A0B4J2B5_HUMAN	IGHV3OR16-9	0
A0A0B4J2B6_HUMAN	IGHV2OR16-5	0
A0A0B4J2B8_HUMAN	IGHV1OR15-9	0
A0A0B4J2E2_HUMAN	CCL15-CCL14	0
A0A0B4J2E5_HUMAN	LOC102724159	0
A0A0B4J2F2_HUMAN	LOC102724428	0
A0A0C4DFX4_HUMAN	A0A0C4DFX4	0
A0A0C4DH26_HUMAN	IGKV6D-41	0
A0A0C4DH30_HUMAN	IGHV3-16	0
A0A0C4DH35_HUMAN	IGHV3-35	0
A0A0C4DH36_HUMAN	IGHV3-38	0
A0A0C4DH90_HUMAN	IGKV3OR2-268	0
A0A0D9SEW6_HUMAN	A0A0D9SEW6	0
A0A0D9SG24_HUMAN	A0A0D9SG24	0
A0A0G2JK05_HUMAN	A0A0G2JK05	0
A0A0G2JLL6_HUMAN	A0A0G2JLL6	0
A0A0G2JLM5_HUMAN	A0A0G2JLM5	0
A0A0G2JMH3_HUMAN	LOC107984156	0
A0A0G2JMP0_HUMAN	A0A0G2JMP0	0
A0A0G2JMZ2_HUMAN	A0A0G2JMZ2	0
A0A0G2JNG1_HUMAN	A0A0G2JNG1	0
A0A0G2JNH3_HUMAN	LOC102723532	0
A0A0G2JPF8_HUMAN	A0A0G2JPF8	0
A0A0G2JRQ6_HUMAN	A0A0G2JRQ6	0
A0A0G2JS52_HUMAN	A0A0G2JS52	0
A0A0J9YVX5_HUMAN	A0A0J9YVX5	0
A0A0J9YX86_HUMAN	GOLGA8Q	0
A0A0J9YXS1_HUMAN	NPHP3-ACAD11	0
A0A0J9YYE9_HUMAN	A0A0J9YYE9	0
A0A0K2S4Q6_HUMAN	LOC100130520	0
A0A0U1RQE8_HUMAN	GLYATL1B	0
A0A0U1RQI7_HUMAN	KLF18	0
A0A0U1RQJ8_HUMAN	A0A0U1RQJ8	0
A0A0U1RQK1_HUMAN	A0A0U1RQK1	0
A0A0U1RQS6_HUMAN	A0A0U1RQS6	0
A0A0U1RQV5_HUMAN	A0A0U1RQV5	0
A0A0U1RR11_HUMAN	CENPVL1	0
A0A0U1RR47_HUMAN	SPTY2D1OS	0
A0A0U1RRA0_HUMAN	A0A0U1RRA0	0
A0A0U1RRI6_HUMAN	CENPVL3	0
A0A0X1KG70_HUMAN	A0A0X1KG70	0
A0A0X1KG74_HUMAN	ZNF816-ZNF321P	0
A0A140T963_HUMAN	RNF103-CHMP3	0
A0A140TA62_HUMAN	LOC100653049	0
A0A140TA64_HUMAN	LOC100996750	0
A0A1B0GTB2_HUMAN	TUNAR	0
A0A1B0GTE1_HUMAN	LOC100289279	0
A0A1B0GTG8_HUMAN	A0A1B0GTG8	0
A0A1B0GTI8_HUMAN	TMEM272	0
A0A1B0GTJ5_HUMAN	KBTBD11-OT1	0
A0A1B0GTQ1_HUMAN	A0A1B0GTQ1	0
A0A1B0GTW0_HUMAN	DWORF	0
A0A1B0GTW7_HUMAN	A0A1B0GTW7	0
A0A1B0GU03_HUMAN	A0A1B0GU03	0
A0A1B0GUA5_HUMAN	LOC389332	0
A0A1B0GUH1_HUMAN	A0A1B0GUH1	0
A0A1B0GUI2_HUMAN	ZC3H11B	0
A0A1B0GUL6_HUMAN	A0A1B0GUL6	0
A0A1B0GUL7_HUMAN	A0A1B0GUL7	0
A0A1B0GUS4_HUMAN	UBE2L5	0
A0A1B0GUV8_HUMAN	LOC102723971	0
A0A1B0GUW6_HUMAN	LOC107983988	0
A0A1B0GUZ9_HUMAN	A0A1B0GUZ9	0
A0A1B0GV72_HUMAN	A0A1B0GV72	0
A0A1B0GVC2_HUMAN	A0A1B0GVC2	0
A0A1B0GVI7_HUMAN	A0A1B0GVI7	0
A0A1B0GVL6_HUMAN	TMEM238L	0
A0A1B0GVM2_HUMAN	A0A1B0GVM2	0
A0A1B0GVT2_HUMAN	A0A1B0GVT2	0
A0A1B0GVV1_HUMAN	SMIM35	0
A0A1B0GVX0_HUMAN	A0A1B0GVX0	0
A0A1B0GW23_HUMAN	ABHD14A-ACY1	0
A0A1B0GW54_HUMAN	A0A1B0GW54	0
A0A1B0GW55_HUMAN	A0A1B0GW55	0
A0A1B0GW64_HUMAN	A0A1B0GW64	0
A0A1B0GWB2_HUMAN	A0A1B0GWB2	0
A0A1B0GWG4_HUMAN	SERTM2	0
A0A1B0GWH6_HUMAN	LINC00672	0
A0A1B0GWJ7_HUMAN	A0A1B0GWJ7	0
A0A1W2PN81_HUMAN	A0A1W2PN81	0
A0A1W2PNV4_HUMAN	A0A1W2PNV4	0
A0A1W2PP11_HUMAN	A0A1W2PP11	0
A0A1W2PP64_HUMAN	A0A1W2PP64	0
A0A1W2PP81_HUMAN	hCG_1809904	0
A0A1W2PPD8_HUMAN	KDM4F	0
A0A1W2PPE2_HUMAN	A0A1W2PPE2	0
A0A1W2PPF3_HUMAN	DUXB	0
A0A1W2PPH5_HUMAN	A0A1W2PPH5	0
A0A1W2PPI3_HUMAN	A0A1W2PPI3	0
A0A1W2PPK0_HUMAN	A0A1W2PPK0	0
A0A1W2PPL8_HUMAN	A0A1W2PPL8	0
A0A1W2PPM1_HUMAN	A0A1W2PPM1	0
A0A1W2PPQ1_HUMAN	A0A1W2PPQ1	0
A0A1W2PPV4_HUMAN	A0A1W2PPV4	0
A0A1W2PPW3_HUMAN	A0A1W2PPW3	0
A0A1W2PQ09_HUMAN	A0A1W2PQ09	0
A0A1W2PQ27_HUMAN	A0A1W2PQ27	0
A0A1W2PQ45_HUMAN	A0A1W2PQ45	0
A0A1W2PQ64_HUMAN	A0A1W2PQ64	0
A0A1W2PQ67_HUMAN	A0A1W2PQ67	0
A0A1W2PQ73_HUMAN	LOC390937	0
A0A1W2PQC6_HUMAN	A0A1W2PQC6	0
A0A1W2PQD8_HUMAN	A0A1W2PQD8	0
