Primary symbol	Non-ambiguous synonyms	Ambiguous synonyms
A0A075B6Q4	A0A075B6Q4_HUMAN	
A0A087WSZ3	A0A087WSZ3_HUMAN	
A0A087WUJ7	A0A087WUJ7_HUMAN	
A0A087WUU8	A0A087WUU8_HUMAN	
A0A087WUV0	A0A087WUV0_HUMAN	
A0A087WV48	A0A087WV48_HUMAN	
A0A087WVE0	A0A087WVE0_HUMAN	
A0A087WW49	A0A087WW49_HUMAN	
A0A087WWV3	A0A087WWV3_HUMAN	
A0A087WX48	A0A087WX48_HUMAN	
A0A087WYN8	A0A087WYN8_HUMAN	
A0A087WZ62	A0A087WZ62_HUMAN	
A0A087WZG4	A0A087WZG4_HUMAN	
A0A087X002	A0A087X002_HUMAN	
A0A087X0B3	A0A087X0B3_HUMAN	
A0A087X1B8	A0A087X1B8_HUMAN	
A0A088AWK7	A0A088AWK7_HUMAN	
A0A096LPI6	A0A096LPI6_HUMAN	
A0A096LPK6	A0A096LPK6_HUMAN	
A0A0A0MRY4	A0A0A0MRY4_HUMAN	
A0A0A6YYH2	A0A0A6YYH2_HUMAN	
A0A0A6YYJ9	A0A0A6YYJ9_HUMAN	
A0A0A6YYK5	A0A0A6YYK5_HUMAN	
A0A0B4J203	A0A0B4J203_HUMAN	
A0A0B4J269	A0A0B4J269_HUMAN	
A0A0B4J293	A0A0B4J293_HUMAN	
A0A0B4J2A0	A0A0B4J2A0_HUMAN	
A0A0C4DFX4	A0A0C4DFX4_HUMAN	
A0A0D9SEW6	A0A0D9SEW6_HUMAN	
A0A0D9SG24	A0A0D9SG24_HUMAN	
A0A0G2JK05	A0A0G2JK05_HUMAN	
A0A0G2JLL6	A0A0G2JLL6_HUMAN	
A0A0G2JLM5	A0A0G2JLM5_HUMAN	
A0A0G2JMP0	A0A0G2JMP0_HUMAN	
A0A0G2JMZ2	A0A0G2JMZ2_HUMAN	
A0A0G2JNG1	A0A0G2JNG1_HUMAN	
A0A0G2JPF8	A0A0G2JPF8_HUMAN	
A0A0G2JRQ6	A0A0G2JRQ6_HUMAN	
A0A0G2JS52	A0A0G2JS52_HUMAN	
A0A0J9YVX5	A0A0J9YVX5_HUMAN	
A0A0J9YYE9	A0A0J9YYE9_HUMAN	
A0A0U1RQJ8	A0A0U1RQJ8_HUMAN	
