cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	data_type	cases.0.samples.0.tissue_type	file_name	cases.0.project.project_id	file_id	analysis.workflow_type	cases.0.submitter_id	cases.0.samples.0.tumor_descriptor	id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.sample_id	data_category	cases.0.case_id
1db09bfd-949c-4170-b8ea-2ff4ba9135d0	Isoform Expression Quantification		5cb4074a-a651-4589-a854-a794a04b7e2d.mirbase21.isoforms.quantification.txt	TCGA-BRCA	2e6b9756-6235-4a69-9b21-73d0ec56ceae	BCGSC miRNA Profiling	TCGA-A2-A0T4		2e6b9756-6235-4a69-9b21-73d0ec56ceae	TCGA-A2-A0T4-01A-31R-A085-13	Primary Tumor	TCGA-A2-A0T4-01A	36ccb542-78a6-4960-8d49-fa02e08fd36f	Transcriptome Profiling	b0f8d698-a30e-4d8d-b0a2-a5a01fac8406
8a7e272c-39f2-42e6-b1d5-7225cf12fceb	Gene Expression Quantification		148d950b-4202-4f3f-be15-84735cd08a48.FPKM.txt.gz	TCGA-BRCA	61b737e2-5a35-4c17-b674-f4ddce8355bb	HTSeq - FPKM	TCGA-E9-A3QA		61b737e2-5a35-4c17-b674-f4ddce8355bb	TCGA-E9-A3QA-01A-61R-A22K-07	Primary Tumor	TCGA-E9-A3QA-01A	27e8b056-063f-4742-a591-b98fb9a948a5	Transcriptome Profiling	f3cb557d-23e4-4fd1-81ca-db1a3f56d56e
376c13fa-ba3e-4f2e-a8bc-87fb70541239	Gene Expression Quantification		0320d3aa-0b8c-4bda-854a-eed5a2d48eda.htseq.counts.gz	TCGA-BRCA	4a6279a2-6328-49e8-8afe-06641cf1ed00	HTSeq - Counts	TCGA-E2-A15J		4a6279a2-6328-49e8-8afe-06641cf1ed00	TCGA-E2-A15J-01A-11R-A12P-07	Primary Tumor	TCGA-E2-A15J-01A	6f68a61c-8aec-42d3-b225-22bc6da3e355	Transcriptome Profiling	1fef9454-b3e8-4d9d-a9aa-aa1f1a32b80c
0b225e38-d4c8-4cb5-a668-316894ab858f	Gene Expression Quantification		acf02cd5-270d-40c0-864d-abebe048f309.FPKM.txt.gz	TCGA-BRCA	4be3b19e-b6b6-4627-815e-60cf0c6faeb9	HTSeq - FPKM	TCGA-A7-A0CH		4be3b19e-b6b6-4627-815e-60cf0c6faeb9	TCGA-A7-A0CH-01A-21R-A00Z-07	Primary Tumor	TCGA-A7-A0CH-01A	1a9f7284-9770-4936-9fa4-500698184680	Transcriptome Profiling	9de678e5-67ed-4453-a98b-7ac351d5d0f1
a998e0ce-9248-460f-aabc-2dad452a1ff9	Gene Expression Quantification		b76eefac-da30-4ee4-9670-4afc45f86b4b.htseq.counts.gz	TCGA-BRCA	f27a0b2a-5acc-4b0d-b5b4-1e1be0d09374	HTSeq - Counts	TCGA-A1-A0SE		f27a0b2a-5acc-4b0d-b5b4-1e1be0d09374	TCGA-A1-A0SE-01A-11R-A084-07	Primary Tumor	TCGA-A1-A0SE-01A	2fd1998c-1ea4-42eb-84b9-db352da9cf25	Transcriptome Profiling	c397e6c2-ba3a-4f5e-a258-c140611192fe
9dddaf60-64ed-4d41-a546-79e86db1101e	Gene Expression Quantification		a2233404-f380-4bd6-8770-0d4ba8998fd9.FPKM-UQ.txt.gz	TCGA-BRCA	5b89d366-d374-4c7b-b400-193596070184	HTSeq - FPKM-UQ	TCGA-EW-A1P6		5b89d366-d374-4c7b-b400-193596070184	TCGA-EW-A1P6-01A-11R-A144-07	Primary Tumor	TCGA-EW-A1P6-01A	174435cc-64d1-4d33-953c-1ada5df46ecd	Transcriptome Profiling	ee5744c0-a8dc-43f2-abdd-0b5529a3e9fb
a435fd99-d592-419e-bc15-10ceab57f6c1	miRNA Expression Quantification		7836cbab-f289-4807-a0db-d413e59b4d81.mirbase21.mirnas.quantification.txt	TCGA-BRCA	36097260-414f-4ec8-8bfe-2bc202992d92	BCGSC miRNA Profiling	TCGA-BH-A1FC		36097260-414f-4ec8-8bfe-2bc202992d92	TCGA-BH-A1FC-01A-11R-A13P-13	Primary Tumor	TCGA-BH-A1FC-01A	3ad0093a-e57a-450a-b0ef-942c9b67a586	Transcriptome Profiling	b97bf89a-7a85-4eef-ae7e-f787aead1f0a
3ea9e7f1-39af-4089-b1c0-3c62db4e3102	Gene Expression Quantification		318901b4-4f1c-4017-8113-5115747c6a67.FPKM.txt.gz	TCGA-BRCA	9754d9e1-76c4-4b61-bc41-ecbed082ae98	HTSeq - FPKM	TCGA-A8-A06X		9754d9e1-76c4-4b61-bc41-ecbed082ae98	TCGA-A8-A06X-01A-21R-A00Z-07	Primary Tumor	TCGA-A8-A06X-01A	504ec583-0496-4d64-bcc9-aa52868cc9f2	Transcriptome Profiling	70931617-b3df-4a12-8e3f-2b2307602f48
fc4f35dd-9924-4e5d-ba71-0d7a79752b6a	Gene Expression Quantification		b3b6981a-b5db-481c-bc27-76a114856b03.htseq.counts.gz	TCGA-BRCA	551d3a58-88f4-4ccd-8b7a-0d86c4c69ce4	HTSeq - Counts	TCGA-A7-A13F		551d3a58-88f4-4ccd-8b7a-0d86c4c69ce4	TCGA-A7-A13F-01A-11R-A12P-07	Primary Tumor	TCGA-A7-A13F-01A	b36c8878-bab6-4f61-9a4e-4dcfca21391e	Transcriptome Profiling	2cf68894-168b-458b-af4f-53cad72989a8
897b769d-f66a-4baf-b5fa-fe92ed49a8b4	Gene Expression Quantification		cf4d50b3-f391-43ee-8887-10de9bca126e.FPKM-UQ.txt.gz	TCGA-BRCA	c36ccf01-7cea-4933-b42f-579f03c8b3cd	HTSeq - FPKM-UQ	TCGA-B6-A0X1		c36ccf01-7cea-4933-b42f-579f03c8b3cd	TCGA-B6-A0X1-01A-11R-A109-07	Primary Tumor	TCGA-B6-A0X1-01A	d360da4b-c5b4-42e8-96d5-eac486f0ebbd	Transcriptome Profiling	178b2c48-c07d-422e-ae17-8bcfd996ad51
